MENU_ID,MENU_TYPE_ID,MENU_TYPE,TRUCK_BRAND_NAME,MENU_ITEM_ID,MENU_ITEM_NAME,ITEM_CATEGORY,ITEM_SUBCATEGORY,COST_OF_GOODS_USD,SALE_PRICE_USD,MENU_ITEM_HEALTH_METRICS_OBJ
10026,3,Tacos,Guac n' Roll,37,Chicken Burrito,Main,Warm Option,3,13,"{
  ""menu_item_health_metrics"": [
    {
      ""ingredients"": [
        ""Spiced Rice"",
        ""Burrito Shell"",
        ""Cabbage"",
        ""Black Chili Oil"",
        ""Guacamole"",
        ""Cilantro"",
        ""Salsa Verde""
      ],
      ""is_dairy_free_flag"": ""Y"",
      ""is_gluten_free_flag"": ""N"",
      ""is_healthy_flag"": ""N"",
      ""is_nut_free_flag"": ""Y""
    }
  ],
  ""menu_item_id"": 37
}"
10027,3,Tacos,Guac n' Roll,38,Lean Burrito Bowl,Main,Warm Option,4,13,"{
  ""menu_item_health_metrics"": [
    {
      ""ingredients"": [
        ""Brown Rice"",
        ""Chicken Breast"",
        ""Tomatoes"",
        ""Lettuce"",
        ""Salsa""
      ],
      ""is_dairy_free_flag"": ""Y"",
      ""is_gluten_free_flag"": ""Y"",
      ""is_healthy_flag"": ""Y"",
      ""is_nut_free_flag"": ""Y""
    }
  ],
  ""menu_item_id"": 38
}"
10028,3,Tacos,Guac n' Roll,39,Fish Burrito,Main,Warm Option,4,13,"{
  ""menu_item_health_metrics"": [
    {
      ""ingredients"": [
        ""White Beans"",
        ""Spiced Rice"",
        ""Cabbage"",
        ""Chipotle Mayo"",
        ""Salsa Fresca""
      ],
      ""is_dairy_free_flag"": ""Y"",
      ""is_gluten_free_flag"": ""Y"",
      ""is_healthy_flag"": ""N"",
      ""is_nut_free_flag"": ""Y""
    }
  ],
  ""menu_item_id"": 39
}"
10029,4,Mac & Cheese,The Mac Shack,41,Standard Mac & Cheese,Main,Hot Option,3,8,"{
  ""menu_item_health_metrics"": [
    {
      ""ingredients"": [
        ""Macaroni"",
        ""Cheddar"",
        ""Monterey Jack""
      ],
      ""is_dairy_free_flag"": ""N"",
      ""is_gluten_free_flag"": ""N"",
      ""is_healthy_flag"": ""N"",
      ""is_nut_free_flag"": ""Y""
    }
  ],
  ""menu_item_id"": 41
}"
10030,4,Mac & Cheese,The Mac Shack,42,Buffalo Mac & Cheese,Main,Hot Option,6,10,"{
  ""menu_item_health_metrics"": [
    {
      ""ingredients"": [
        ""Buffalo Chicken"",
        ""Macaroni"",
        ""Cheddar"",
        ""Monterey Jack""
      ],
      ""is_dairy_free_flag"": ""N"",
      ""is_gluten_free_flag"": ""N"",
      ""is_healthy_flag"": ""N"",
      ""is_nut_free_flag"": ""Y""
    }
  ],
  ""menu_item_id"": 42
}"
10031,4,Mac & Cheese,The Mac Shack,43,Lobster Mac & Cheese,Main,Hot Option,10,15,"{
  ""menu_item_health_metrics"": [
    {
      ""ingredients"": [
        ""Lobster Meat"",
        ""Macaroni"",
        ""Cheddar"",
        ""Monterey Jack""
      ],
      ""is_dairy_free_flag"": ""N"",
      ""is_gluten_free_flag"": ""N"",
      ""is_healthy_flag"": ""N"",
      ""is_nut_free_flag"": ""Y""
    }
  ],
  ""menu_item_id"": 43
}"
10032,4,Mac & Cheese,The Mac Shack,44,Bottled Water,Beverage,Cold Option,1,2,"{
  ""menu_item_health_metrics"": [
    {
      ""ingredients"": [
        ""12 Oz Bottle Water""
      ],
      ""is_dairy_free_flag"": ""Y"",
      ""is_gluten_free_flag"": ""Y"",
      ""is_healthy_flag"": ""Y"",
      ""is_nut_free_flag"": ""Y""
    }
  ],
  ""menu_item_id"": 44
}"
10033,4,Mac & Cheese,The Mac Shack,45,Bottled Soda,Beverage,Cold Option,1,3,"{
  ""menu_item_health_metrics"": [
    {
      ""ingredients"": [
        ""12 Oz Bottle Soda""
      ],
      ""is_dairy_free_flag"": ""Y"",
      ""is_gluten_free_flag"": ""Y"",
      ""is_healthy_flag"": ""N"",
      ""is_nut_free_flag"": ""Y""
    }
  ],
  ""menu_item_id"": 45
}"
10034,4,Mac & Cheese,The Mac Shack,46,Ice Tea,Beverage,Cold Option,1,3,"{
  ""menu_item_health_metrics"": [
    {
      ""ingredients"": [
        ""12 Oz Bottle Ice Tea""
      ],
      ""is_dairy_free_flag"": ""Y"",
      ""is_gluten_free_flag"": ""Y"",
      ""is_healthy_flag"": ""N"",
      ""is_nut_free_flag"": ""Y""
    }
  ],
  ""menu_item_id"": 46
}"
10035,5,Ramen,Kitakata Ramen Bar,51,Creamy Chicken Ramen,Main,Hot Option,8,17,"{
  ""menu_item_health_metrics"": [
    {
      ""ingredients"": [
        ""Chicken Broth"",
        ""Yellow Egg Noodles"",
        ""Chicken"",
        ""Bok Choy""
      ],
      ""is_dairy_free_flag"": ""Y"",
      ""is_gluten_free_flag"": ""N"",
      ""is_healthy_flag"": ""N"",
      ""is_nut_free_flag"": ""Y""
    }
  ],
  ""menu_item_id"": 51
}"
10036,5,Ramen,Kitakata Ramen Bar,52,Spicy Miso Vegetable Ramen,Main,Hot Option,7,17,"{
  ""menu_item_health_metrics"": [
    {
      ""ingredients"": [
        ""Spicy Broth"",
        ""Yellow Egg Noodes"",
        ""Bok Choy"",
        ""Bean Sprouts""
      ],
      ""is_dairy_free_flag"": ""Y"",
      ""is_gluten_free_flag"": ""N"",
      ""is_healthy_flag"": ""N"",
      ""is_nut_free_flag"": ""Y""
    }
  ],
  ""menu_item_id"": 52
}"
10037,5,Ramen,Kitakata Ramen Bar,53,Tonkotsu Ramen,Main,Hot Option,7,17,"{
  ""menu_item_health_metrics"": [
    {
      ""ingredients"": [
        ""Classic Cream Broth"",
        ""White Noodles"",
        ""Bok Choy"",
        ""Pork Belly"",
        ""Peanuts""
      ],
      ""is_dairy_free_flag"": ""Y"",
      ""is_gluten_free_flag"": ""N"",
      ""is_healthy_flag"": ""N"",
      ""is_nut_free_flag"": ""N""
    }
  ],
  ""menu_item_id"": 53
}"
10038,5,Ramen,Kitakata Ramen Bar,54,Bottled Water,Beverage,Cold Option,1,2,"{
  ""menu_item_health_metrics"": [
    {
      ""ingredients"": [
        ""12 Oz Bottle Water""
      ],
      ""is_dairy_free_flag"": ""Y"",
      ""is_gluten_free_flag"": ""Y"",
      ""is_healthy_flag"": ""Y"",
      ""is_nut_free_flag"": ""Y""
    }
  ],
  ""menu_item_id"": 54
}"
10039,5,Ramen,Kitakata Ramen Bar,55,Bottled Soda,Beverage,Cold Option,1,3,"{
  ""menu_item_health_metrics"": [
    {
      ""ingredients"": [
        ""12 Oz Bottle Soda""
      ],
      ""is_dairy_free_flag"": ""Y"",
      ""is_gluten_free_flag"": ""Y"",
      ""is_healthy_flag"": ""N"",
      ""is_nut_free_flag"": ""Y""
    }
  ],
  ""menu_item_id"": 55
}"
10040,5,Ramen,Kitakata Ramen Bar,56,Ice Tea,Beverage,Cold Option,1,3,"{
  ""menu_item_health_metrics"": [
    {
      ""ingredients"": [
        ""12 Oz Bottle Ice Tea""
      ],
      ""is_dairy_free_flag"": ""Y"",
      ""is_gluten_free_flag"": ""Y"",
      ""is_healthy_flag"": ""N"",
      ""is_nut_free_flag"": ""Y""
    }
  ],
  ""menu_item_id"": 56
}"
10041,6,Grilled Cheese,The Mega Melt,61,The Original,Main,Hot Option,2,5,"{
  ""menu_item_health_metrics"": [
    {
      ""ingredients"": [
        ""White Bread"",
        ""Cheddar Cheese""
      ],
      ""is_dairy_free_flag"": ""N"",
      ""is_gluten_free_flag"": ""N"",
      ""is_healthy_flag"": ""N"",
      ""is_nut_free_flag"": ""Y""
    }
  ],
  ""menu_item_id"": 61
}"
10042,6,Grilled Cheese,The Mega Melt,62,The Ranch,Main,Hot Option,2,6,"{
  ""menu_item_health_metrics"": [
    {
      ""ingredients"": [
        ""Sourdough Bread"",
        ""Cheddar Cheese"",
        ""Pepper Jack"",
        ""Deli Turkey"",
        ""Crispy Bacon""
      ],
      ""is_dairy_free_flag"": ""N"",
      ""is_gluten_free_flag"": ""N"",
      ""is_healthy_flag"": ""N"",
      ""is_nut_free_flag"": ""Y""
    }
  ],
  ""menu_item_id"": 62
}"
10043,6,Grilled Cheese,The Mega Melt,63,Miss Piggie,Main,Hot Option,3,6,"{
  ""menu_item_health_metrics"": [
    {
      ""ingredients"": [
        ""Pressed Brioche Bun"",
        ""Ham"",
        ""Swiss"",
        ""Spicy Brown Mustard"",
        ""Pickles""
      ],
      ""is_dairy_free_flag"": ""N"",
      ""is_gluten_free_flag"": ""N"",
      ""is_healthy_flag"": ""N"",
      ""is_nut_free_flag"": ""Y""
    }
  ],
  ""menu_item_id"": 63
}"
10044,6,Grilled Cheese,The Mega Melt,64,Bottled Water,Beverage,Cold Option,1,2,"{
  ""menu_item_health_metrics"": [
    {
      ""ingredients"": [
        ""12 Oz Bottle Water""
      ],
      ""is_dairy_free_flag"": ""Y"",
      ""is_gluten_free_flag"": ""Y"",
      ""is_healthy_flag"": ""Y"",
      ""is_nut_free_flag"": ""Y""
    }
  ],
  ""menu_item_id"": 64
}"
10045,6,Grilled Cheese,The Mega Melt,65,Bottled Soda,Beverage,Cold Option,1,3,"{
  ""menu_item_health_metrics"": [
    {
      ""ingredients"": [
        ""12 Oz Bottle Soda""
      ],
      ""is_dairy_free_flag"": ""Y"",
      ""is_gluten_free_flag"": ""Y"",
      ""is_healthy_flag"": ""N"",
      ""is_nut_free_flag"": ""Y""
    }
  ],
  ""menu_item_id"": 65
}"
10046,6,Grilled Cheese,The Mega Melt,66,Ice Tea,Beverage,Cold Option,1,3,"{
  ""menu_item_health_metrics"": [
    {
      ""ingredients"": [
        ""12 Oz Bottle Ice Tea""
      ],
      ""is_dairy_free_flag"": ""Y"",
      ""is_gluten_free_flag"": ""Y"",
      ""is_healthy_flag"": ""N"",
      ""is_nut_free_flag"": ""Y""
    }
  ],
  ""menu_item_id"": 66
}"
10047,7,Vegetarian,Plant Palace,71,Veggie Burger,Main,Hot Option,5,9,"{
  ""menu_item_health_metrics"": [
    {
      ""ingredients"": [
        ""Brioche Bun"",
        ""Black Bean Burger"",
        ""Vegan Cheese"",
        ""Lettuce""
      ],
      ""is_dairy_free_flag"": ""N"",
      ""is_gluten_free_flag"": ""N"",
      ""is_healthy_flag"": ""N"",
      ""is_nut_free_flag"": ""Y""
    }
  ],
  ""menu_item_id"": 71
}"
10048,7,Vegetarian,Plant Palace,72,Seitan Buffalo Wings,Snack,Hot Option,4,7,"{
  ""menu_item_health_metrics"": [
    {
      ""ingredients"": [
        ""Six Seitan Wings"",
        ""Vegan Ranch""
      ],
      ""is_dairy_free_flag"": ""Y"",
      ""is_gluten_free_flag"": ""N"",
      ""is_healthy_flag"": ""Y"",
      ""is_nut_free_flag"": ""Y""
    }
  ],
  ""menu_item_id"": 72
}"
10049,7,Vegetarian,Plant Palace,73,The Salad of All Salads,Main,Warm Option,6,12,"{
  ""menu_item_health_metrics"": [
    {
      ""ingredients"": [
        ""Arugula"",
        ""Spinach"",
        ""Garbanzo Beans"",
        ""Tofu"",
        ""Snap Peas"",
        ""Bell Pepper"",
        ""Carrot"",
        ""Vegan Ranch"",
        ""Sliced Cashews""
      ],
      ""is_dairy_free_flag"": ""Y"",
      ""is_gluten_free_flag"": ""Y"",
      ""is_healthy_flag"": ""N"",
      ""is_nut_free_flag"": ""N""
    }
  ],
  ""menu_item_id"": 73
}"
10050,7,Vegetarian,Plant Palace,74,Bottled Water,Beverage,Cold Option,1,2,"{
  ""menu_item_health_metrics"": [
    {
      ""ingredients"": [
        ""12 Oz Bottle Water""
      ],
      ""is_dairy_free_flag"": ""Y"",
      ""is_gluten_free_flag"": ""Y"",
      ""is_healthy_flag"": ""Y"",
      ""is_nut_free_flag"": ""Y""
    }
  ],
  ""menu_item_id"": 74
}"
10051,7,Vegetarian,Plant Palace,75,Bottled Soda,Beverage,Cold Option,1,3,"{
  ""menu_item_health_metrics"": [
    {
      ""ingredients"": [
        ""12 Oz Bottle Soda""
      ],
      ""is_dairy_free_flag"": ""Y"",
      ""is_gluten_free_flag"": ""Y"",
      ""is_healthy_flag"": ""N"",
      ""is_nut_free_flag"": ""Y""
    }
  ],
  ""menu_item_id"": 75
}"
10052,7,Vegetarian,Plant Palace,76,Ice Tea,Beverage,Cold Option,1,3,"{
  ""menu_item_health_metrics"": [
    {
      ""ingredients"": [
        ""12 Oz Bottle Ice Tea""
      ],
      ""is_dairy_free_flag"": ""Y"",
      ""is_gluten_free_flag"": ""Y"",
      ""is_healthy_flag"": ""N"",
      ""is_nut_free_flag"": ""Y""
    }
  ],
  ""menu_item_id"": 76
}"
10053,8,Crepes,Le Coin des Crêpes,81,Breakfast Crepe,Main,Warm Option,5,12,"{
  ""menu_item_health_metrics"": [
    {
      ""ingredients"": [
        ""Cheddar"",
        ""Bacon"",
        ""Egg""
      ],
      ""is_dairy_free_flag"": ""N"",
      ""is_gluten_free_flag"": ""N"",
      ""is_healthy_flag"": ""N"",
      ""is_nut_free_flag"": ""Y""
    }
  ],
  ""menu_item_id"": 81
}"
10054,8,Crepes,Le Coin des Crêpes,82,Chicken Pot Pie Crepe,Main,Hot Option,6,15,"{
  ""menu_item_health_metrics"": [
    {
      ""ingredients"": [
        ""Cheddar"",
        ""Mixed Peas and Carrots"",
        ""Red Onions"",
        ""Mushrooms"",
        ""Roasted Chicken"",
        ""Gravy""
      ],
      ""is_dairy_free_flag"": ""N"",
      ""is_gluten_free_flag"": ""N"",
      ""is_healthy_flag"": ""N"",
      ""is_nut_free_flag"": ""Y""
    }
  ],
  ""menu_item_id"": 82
}"
10055,8,Crepes,Le Coin des Crêpes,83,Crepe Suzette,Snack,Warm Option,4,9,"{
  ""menu_item_health_metrics"": [
    {
      ""ingredients"": [
        ""Sugar"",
        ""Orange Zest"",
        ""Nutella"",
        ""Grand Marnier""
      ],
      ""is_dairy_free_flag"": ""Y"",
      ""is_gluten_free_flag"": ""N"",
      ""is_healthy_flag"": ""N"",
      ""is_nut_free_flag"": ""Y""
    }
  ],
  ""menu_item_id"": 83
}"
10056,8,Crepes,Le Coin des Crêpes,84,Bottled Water,Beverage,Cold Option,1,2,"{
  ""menu_item_health_metrics"": [
    {
      ""ingredients"": [
        ""12 Oz Bottle Water""
      ],
      ""is_dairy_free_flag"": ""Y"",
      ""is_gluten_free_flag"": ""Y"",
      ""is_healthy_flag"": ""Y"",
      ""is_nut_free_flag"": ""Y""
    }
  ],
  ""menu_item_id"": 84
}"
10057,8,Crepes,Le Coin des Crêpes,85,Bottled Soda,Beverage,Cold Option,1,3,"{
  ""menu_item_health_metrics"": [
    {
      ""ingredients"": [
        ""12 Oz Bottle Soda""
      ],
      ""is_dairy_free_flag"": ""Y"",
      ""is_gluten_free_flag"": ""Y"",
      ""is_healthy_flag"": ""N"",
      ""is_nut_free_flag"": ""Y""
    }
  ],
  ""menu_item_id"": 85
}"
10058,8,Crepes,Le Coin des Crêpes,86,Ice Tea,Beverage,Cold Option,1,3,"{
  ""menu_item_health_metrics"": [
    {
      ""ingredients"": [
        ""12 Oz Bottle Ice Tea""
      ],
      ""is_dairy_free_flag"": ""Y"",
      ""is_gluten_free_flag"": ""Y"",
      ""is_healthy_flag"": ""N"",
      ""is_nut_free_flag"": ""Y""
    }
  ],
  ""menu_item_id"": 86
}"
10059,9,Ethiopian,Tasty Tibs,91,Lean Chicken Tibs,Main,Hot Option,5,11,"{
  ""menu_item_health_metrics"": [
    {
      ""ingredients"": [
        ""Cubed Chicken"",
        ""Red Onions"",
        ""Garlic"",
        ""Tomatoes"",
        ""Jalapenos"",
        ""Assorted Veggies""
      ],
      ""is_dairy_free_flag"": ""Y"",
      ""is_gluten_free_flag"": ""Y"",
      ""is_healthy_flag"": ""Y"",
      ""is_nut_free_flag"": ""Y""
    }
  ],
  ""menu_item_id"": 91
}"
10060,9,Ethiopian,Tasty Tibs,92,Lean Beef Tibs,Main,Hot Option,6,13,"{
  ""menu_item_health_metrics"": [
    {
      ""ingredients"": [
        ""Cubed Steak"",
        ""Red Onions"",
        ""Garlic"",
        ""Tomatoes"",
        ""Jalapenos"",
        ""Assorted Veggies""
      ],
      ""is_dairy_free_flag"": ""Y"",
      ""is_gluten_free_flag"": ""Y"",
      ""is_healthy_flag"": ""Y"",
      ""is_nut_free_flag"": ""Y""
    }
  ],
  ""menu_item_id"": 92
}"
