"Department","Cost","Travel Class","Ticket Single or Return","Airline","Travel Date","Origin ICAO","Origin Name","Origin Municipality","Origin Region","Origin Country","Origin Latitude","Origin Longitude","Destination ICAO","Destination Name","Destination Region","Destination Country","Destination Latitude","Destination Longitude","Distance"
"Orange Department",7969.20,"Business","Return","British Airways",2011-04-07,"EGLL","London Heathrow Airport","London","England","United Kingdom",51.4706,-0.461941,"WSSS","Singapore Changi Airport","South East","Singapore",1.35019,103.994003,10883
"Orange Department",7969.20,"Business","Return","British Airways",2011-04-07,"EGLL","London Heathrow Airport","London","England","United Kingdom",51.4706,-0.461941,"WSSS","Singapore Changi Airport","South East","Singapore",1.35019,103.994003,10883
"Yellow Department",61.98,"Economy","Return","Flybe",2011-04-08,"EGHI","Southampton Airport","Southampton","England","United Kingdom",50.9502983093262,-1.35679996013641,"EHAM","Amsterdam Airport Schiphol","Noord-Holland","Netherlands",52.308601,4.76389,448
"Yellow Department",151.29,"Economy","Return","Flybe",2011-04-08,"EGPF","Glasgow International Airport","Glasgow","Scotland","United Kingdom",55.8718986511,-4.43306016922,"EGPR","Barra Airport","Scotland","United Kingdom",57.0228,-7.44306,225
"Orange Department",387.60,"Economy","Return","Alitalia",2011-04-08,"EGLL","London Heathrow Airport","London","England","United Kingdom",51.4706,-0.461941,"LIML","Milano Linate Airport","Lombardy","Italy",45.445099,9.27674,981
"Orange Department",206.03,"Economy","Return","Flybe",2011-04-09,"EGHI","Southampton Airport","Southampton","England","United Kingdom",50.9502983093262,-1.35679996013641,"EGCC","Manchester Airport","England","United Kingdom",53.3536987304688,-2.27495002746582,274
"Yellow Department",305.72,"Economy","Return","Flybe",2011-04-09,"EGPD","Aberdeen Dyce Airport","Aberdeen","Scotland","United Kingdom",57.2019004821777,-2.19777989387512,"EGKK","London Gatwick Airport","England","United Kingdom",51.148102,-0.190278,686
"Yellow Department",249.70,"Economy","Return","British Airways",2011-04-10,"EGLL","London Heathrow Airport","London","England","United Kingdom",51.4706,-0.461941,"LIRP","Pisa International Airport","Tuscany","Italy",43.683899,10.3927,1186
"Orange Department",278.80,"Economy","Return","British Airways",2011-04-10,"EGLL","London Heathrow Airport","London","England","United Kingdom",51.4706,-0.461941,"EGCC","Manchester Airport","England","United Kingdom",53.3536987304688,-2.27495002746582,243
"Orange Department",278.80,"Economy","Return","British Airways",2011-04-10,"EGLL","London Heathrow Airport","London","England","United Kingdom",51.4706,-0.461941,"EGCC","Manchester Airport","England","United Kingdom",53.3536987304688,-2.27495002746582,243
"Yellow Department",75.50,"Economy","Single","Flybe",2011-04-11,"EGPB","Sumburgh Airport","Lerwick","Scotland","United Kingdom",59.8788986206055,-1.29556000232697,"EGPF","Glasgow International Airport","Scotland","United Kingdom",55.8718986511,-4.43306016922,483
"Purple Department",383.30,"Economy","Single","Lufthansa",2011-04-11,"EDDK","Cologne Bonn Airport","Cologne","North Rhine-Westphalia","Germany",50.8658981323,7.1427397728,"EGLL","London Heathrow Airport","England","United Kingdom",51.4706,-0.461941,534
"Orange Department",190.43,"Economy","Return","Easyjet",2011-04-12,"EGSS","London Stansted Airport","London","England","United Kingdom",51.8849983215,0.234999999404,"EGPH","Edinburgh Airport","Scotland","United Kingdom",55.9500007629395,-3.37249994277954,510
"Orange Department",214.68,"Economy","Return","Aer Lingus",2011-04-12,"EGLL","London Heathrow Airport","London","England","United Kingdom",51.4706,-0.461941,"EIDW","Dublin Airport","County Dublin","Ireland",53.421299,-6.27007,449
"Yellow Department",1331.50,"Business","Return","Iberia",2011-04-12,"EGLL","London Heathrow Airport","London","England","United Kingdom",51.4706,-0.461941,"LEMG","Málaga Airport","Andalucía","Spain",36.6749000549316,-4.49911022186279,1676
"Yellow Department",1331.50,"Business","Return","Iberia",2011-04-12,"EGLL","London Heathrow Airport","London","England","United Kingdom",51.4706,-0.461941,"LEMG","Málaga Airport","Andalucía","Spain",36.6749000549316,-4.49911022186279,1676
"Yellow Department",25.98,"Economy","Return","Flybe",2011-04-13,"EGGP","Liverpool John Lennon Airport","Liverpool","England","United Kingdom",53.3335990905762,-2.8497200012207,"EGAC","George Best Belfast City Airport","Northern Ireland","United Kingdom",54.6180992126465,-5.87249994277954,244
"Orange Department",117.90,"Economy","Single","British Airways",2011-04-13,"EGKK","London Gatwick Airport","London","England","United Kingdom",51.148102,-0.190278,"EGCC","Manchester Airport","England","United Kingdom",53.3536987304688,-2.27495002746582,283
"Orange Department",117.90,"Economy","Single","British Airways",2011-04-13,"EGKK","London Gatwick Airport","London","England","United Kingdom",51.148102,-0.190278,"EGCC","Manchester Airport","England","United Kingdom",53.3536987304688,-2.27495002746582,283
"Orange Department",145.00,"Economy","Single","Air Southwest",2011-04-13,"EGHD","Plymouth City Airport","Plymouth","England","United Kingdom",50.422798,-4.10583,"EGCC","Manchester Airport","England","United Kingdom",53.3536987304688,-2.27495002746582,349
"Yellow Department",151.76,"Economy","Single","Flybe",2011-04-13,"EGPF","Glasgow International Airport","Glasgow","Scotland","United Kingdom",55.8718986511,-4.43306016922,"EGHI","Southampton Airport","England","United Kingdom",50.9502983093262,-1.35679996013641,584
"Yellow Department",196.96,"Economy","Return","Flybe",2011-04-13,"EGNT","Newcastle Airport","Newcastle","England","United Kingdom",55.0374984741211,-1.69166994094849,"EGHI","Southampton Airport","England","United Kingdom",50.9502983093262,-1.35679996013641,455
"Orange Department",258.51,"Economy","Return","Flybe",2011-04-13,"EGHI","Southampton Airport","Southampton","England","United Kingdom",50.9502983093262,-1.35679996013641,"EGCC","Manchester Airport","England","United Kingdom",53.3536987304688,-2.27495002746582,274
"Purple Department",272.30,"Economy","Return","British Airways",2011-04-13,"EGLL","London Heathrow Airport","London","England","United Kingdom",51.4706,-0.461941,"LIRP","Pisa International Airport","Tuscany","Italy",43.683899,10.3927,1186
"Yellow Department",287.18,"Economy","Return","Flybe",2011-04-13,"EGHI","Southampton Airport","Southampton","England","United Kingdom",50.9502983093262,-1.35679996013641,"EGPH","Edinburgh Airport","Scotland","United Kingdom",55.9500007629395,-3.37249994277954,572
"Yellow Department",287.18,"Economy","Return","Flybe",2011-04-13,"EGHI","Southampton Airport","Southampton","England","United Kingdom",50.9502983093262,-1.35679996013641,"EGPH","Edinburgh Airport","Scotland","United Kingdom",55.9500007629395,-3.37249994277954,572
"Orange Department",287.22,"Business","Return","British Airways",2011-04-13,"EGLL","London Heathrow Airport","London","England","United Kingdom",51.4706,-0.461941,"EGPH","Edinburgh Airport","Scotland","United Kingdom",55.9500007629395,-3.37249994277954,534
"Yellow Department",295.40,"Economy","Return","KLM",2011-04-13,"EGNT","Newcastle Airport","Newcastle","England","United Kingdom",55.0374984741211,-1.69166994094849,"LFML","Marseille Provence Airport","Provence-Alpes-Côte-d'Azur","France",43.439271922,5.22142410278,1382
"Orange Department",298.17,"Economy","Return","British Airways",2011-04-13,"EGLC","London City Airport","London","England","United Kingdom",51.505299,0.055278,"EGPH","Edinburgh Airport","Scotland","United Kingdom",55.9500007629395,-3.37249994277954,543
"Yellow Department",330.22,"Economy","Return","KLM",2011-04-13,"EGNM","Leeds Bradford Airport","Leeds","England","United Kingdom",53.8658981323242,-1.66057002544403,"EHAM","Amsterdam Airport Schiphol","Noord-Holland","Netherlands",52.308601,4.76389,462
"Orange Department",335.80,"Economy","Return","British Airways",2011-04-13,"EGLL","London Heathrow Airport","London","England","United Kingdom",51.4706,-0.461941,"EGCC","Manchester Airport","England","United Kingdom",53.3536987304688,-2.27495002746582,243
"Yellow Department",346.11,"Economy","Return","Flybe",2011-04-13,"EGPF","Glasgow International Airport","Glasgow","Scotland","United Kingdom",55.8718986511,-4.43306016922,"EGPO","Stornoway Airport","Scotland","United Kingdom",58.2155990600586,-6.33111000061035,285
"Yellow Department",756.70,"Business","Return","British Airways",2011-04-13,"EGLL","London Heathrow Airport","London","England","United Kingdom",51.4706,-0.461941,"LFMN","Nice-Côte d'Azur Airport","Provence-Alpes-Côte-d'Azur","France",43.6584014893,7.21586990356,1041
"Yellow Department",765.70,"Economy","Return","British Airways",2011-04-13,"EGLL","London Heathrow Airport","London","England","United Kingdom",51.4706,-0.461941,"LFMN","Nice-Côte d'Azur Airport","Provence-Alpes-Côte-d'Azur","France",43.6584014893,7.21586990356,1041
"Yellow Department",46.12,"Economy","Return","Easyjet",2011-04-14,"EGKK","London Gatwick Airport","London","England","United Kingdom",51.148102,-0.190278,"LEPA","Palma De Mallorca Airport","Baleares","Spain",39.551700592,2.73881006241,1309
"Orange Department",111.40,"Economy","Return","British Airways",2011-04-14,"EGKK","London Gatwick Airport","London","England","United Kingdom",51.148102,-0.190278,"EGCC","Manchester Airport","England","United Kingdom",53.3536987304688,-2.27495002746582,283
"Orange Department",177.51,"Economy","Return","Swiss Airlines",2011-04-14,"EGLC","London City Airport","London","England","United Kingdom",51.505299,0.055278,"LSZH","Zürich Airport","Canton of Zurich","Switzerland",47.464699,8.54917,760
"Orange Department",196.40,"Economy","Return","British Airways",2011-04-14,"EGKK","London Gatwick Airport","London","England","United Kingdom",51.148102,-0.190278,"EGCC","Manchester Airport","England","United Kingdom",53.3536987304688,-2.27495002746582,283
"Orange Department",196.40,"Economy","Return","British Airways",2011-04-14,"EGKK","London Gatwick Airport","London","England","United Kingdom",51.148102,-0.190278,"EGCC","Manchester Airport","England","United Kingdom",53.3536987304688,-2.27495002746582,283
"Yellow Department",213.80,"Economy","Single","Eastern Airways",2011-04-14,"EGHI","Southampton Airport","Southampton","England","United Kingdom",50.9502983093262,-1.35679996013641,"EGPD","Aberdeen Dyce Airport","Scotland","United Kingdom",57.2019004821777,-2.19777989387512,697
"Yellow Department",238.15,"Economy","Return","Easyjet",2011-04-14,"EGKK","London Gatwick Airport","London","England","United Kingdom",51.148102,-0.190278,"LEPA","Palma De Mallorca Airport","Baleares","Spain",39.551700592,2.73881006241,1309
"Yellow Department",306.17,"Business","Return","British Airways",2011-04-14,"EGPH","Edinburgh Airport","Edinburgh","Scotland","United Kingdom",55.9500007629395,-3.37249994277954,"EGLC","London City Airport","England","United Kingdom",51.505299,0.055278,543
"Yellow Department",325.11,"Economy","Return","Flybe",2011-04-14,"EGAC","George Best Belfast City Airport","Belfast","Northern Ireland","United Kingdom",54.6180992126465,-5.87249994277954,"EGPD","Aberdeen Dyce Airport","Scotland","United Kingdom",57.2019004821777,-2.19777989387512,367
"Orange Department",336.60,"Economy","Single","British Airways",2011-04-14,"EGKK","London Gatwick Airport","London","England","United Kingdom",51.148102,-0.190278,"LIMF","Turin Airport","Piedmont","Italy",45.200802,7.64963,880
"Yellow Department",410.05,"Economy","Return","Flybe",2011-04-14,"EGPH","Edinburgh Airport","Edinburgh","Scotland","United Kingdom",55.9500007629395,-3.37249994277954,"EGPA","Kirkwall Airport","Scotland","United Kingdom",58.9578018188477,-2.90499997138977,336
"Yellow Department",10.73,"Economy","Return","British Airways",2011-04-15,"EGPF","Glasgow International Airport","Glasgow","Scotland","United Kingdom",55.8718986511,-4.43306016922,"EGKK","London Gatwick Airport","England","United Kingdom",51.148102,-0.190278,595
"Orange Department",879.02,"Business","Single","British Midland",2011-04-15,"EGLL","London Heathrow Airport","London","England","United Kingdom",51.4706,-0.461941,"ZBAA","Beijing Capital International Airport","Beijing Municipality","China",40.0801010131836,116.584999084473,8153
"Orange Department",1472.42,"Business","Return","British Midland",2011-04-15,"EGLL","London Heathrow Airport","London","England","United Kingdom",51.4706,-0.461941,"ZBAA","Beijing Capital International Airport","Beijing Municipality","China",40.0801010131836,116.584999084473,8153
"Orange Department",1472.42,"Business","Return","British Midland",2011-04-15,"EGLL","London Heathrow Airport","London","England","United Kingdom",51.4706,-0.461941,"ZBAA","Beijing Capital International Airport","Beijing Municipality","China",40.0801010131836,116.584999084473,8153
"Yellow Department",32.50,"Economy","Return","Flybe",2011-04-16,"EGPF","Glasgow International Airport","Glasgow","Scotland","United Kingdom",55.8718986511,-4.43306016922,"EGHI","Southampton Airport","England","United Kingdom",50.9502983093262,-1.35679996013641,584
"Orange Department",53.99,"Economy","Single","Ryanair",2011-04-16,"EGHH","Bournemouth Airport","Bournemouth","England","United Kingdom",50.7799987792969,-1.84249997138977,"GCFV","Fuerteventura Airport","Canary Islands","Spain",28.4526996612549,-13.8638000488281,2680
"Orange Department",53.99,"Economy","Single","Ryanair",2011-04-16,"EGHH","Bournemouth Airport","Bournemouth","England","United Kingdom",50.7799987792969,-1.84249997138977,"GCFV","Fuerteventura Airport","Canary Islands","Spain",28.4526996612549,-13.8638000488281,2680
"Orange Department",53.99,"Economy","Single","Ryanair",2011-04-16,"EGHH","Bournemouth Airport","Bournemouth","England","United Kingdom",50.7799987792969,-1.84249997138977,"GCFV","Fuerteventura Airport","Canary Islands","Spain",28.4526996612549,-13.8638000488281,2680
"Orange Department",53.99,"Economy","Single","Ryanair",2011-04-16,"EGHH","Bournemouth Airport","Bournemouth","England","United Kingdom",50.7799987792969,-1.84249997138977,"GCFV","Fuerteventura Airport","Canary Islands","Spain",28.4526996612549,-13.8638000488281,2680
"Orange Department",62.40,"Economy","Single","Middle East Airlines",2011-04-16,"ZBAA","Beijing Capital International Airport","Beijing","Beijing Municipality","China",40.0801010131836,116.584999084473,"LCLK","Larnaca International Airport","Larnarca District","Cyprus",34.8750991821289,33.6249008178711,7069
"Yellow Department",154.68,"Economy","Return","Flybe",2011-04-16,"EGHI","Southampton Airport","Southampton","England","United Kingdom",50.9502983093262,-1.35679996013641,"EHAM","Amsterdam Airport Schiphol","Noord-Holland","Netherlands",52.308601,4.76389,448
"Orange Department",164.82,"Economy","Return","British Airways",2011-04-16,"EGPH","Edinburgh Airport","Edinburgh","Scotland","United Kingdom",55.9500007629395,-3.37249994277954,"EGKK","London Gatwick Airport","England","United Kingdom",51.148102,-0.190278,574
"Yellow Department",172.87,"Economy","Return","Flybe",2011-04-16,"EGHI","Southampton Airport","Southampton","England","United Kingdom",50.9502983093262,-1.35679996013641,"EHAM","Amsterdam Airport Schiphol","Noord-Holland","Netherlands",52.308601,4.76389,448
"Orange Department",181.06,"Economy","Single","Easyjet",2011-04-16,"EHAM","Amsterdam Airport Schiphol","Amsterdam","Noord-Holland","Netherlands",52.308601,4.76389,"EGKK","London Gatwick Airport","England","United Kingdom",51.148102,-0.190278,365
"Orange Department",181.06,"Economy","Single","Easyjet",2011-04-16,"EHAM","Amsterdam Airport Schiphol","Amsterdam","Noord-Holland","Netherlands",52.308601,4.76389,"EGKK","London Gatwick Airport","England","United Kingdom",51.148102,-0.190278,365
"Yellow Department",232.76,"Economy","Return","Flybe",2011-04-16,"EGPF","Glasgow International Airport","Glasgow","Scotland","United Kingdom",55.8718986511,-4.43306016922,"EGHI","Southampton Airport","England","United Kingdom",50.9502983093262,-1.35679996013641,584
"Yellow Department",299.15,"Economy","Return","Flybe",2011-04-16,"EGPF","Glasgow International Airport","Glasgow","Scotland","United Kingdom",55.8718986511,-4.43306016922,"EGAC","George Best Belfast City Airport","Northern Ireland","United Kingdom",54.6180992126465,-5.87249994277954,167
"Yellow Department",374.89,"Economy","Return","Flybe",2011-04-16,"EGAC","George Best Belfast City Airport","Belfast","Northern Ireland","United Kingdom",54.6180992126465,-5.87249994277954,"EGHI","Southampton Airport","England","United Kingdom",50.9502983093262,-1.35679996013641,508
"Orange Department",438.20,"Business","Return","British Airways",2011-04-16,"EGKK","London Gatwick Airport","London","England","United Kingdom",51.148102,-0.190278,"EHAM","Amsterdam Airport Schiphol","Noord-Holland","Netherlands",52.308601,4.76389,365
"Yellow Department",508.30,"Economy","Return","Eastern Airways",2011-04-16,"EGPD","Aberdeen Dyce Airport","Aberdeen","Scotland","United Kingdom",57.2019004821777,-2.19777989387512,"EGHI","Southampton Airport","England","United Kingdom",50.9502983093262,-1.35679996013641,697
"Yellow Department",125.48,"Economy","Single","Flybe",2011-04-17,"EGHI","Southampton Airport","Southampton","England","United Kingdom",50.9502983093262,-1.35679996013641,"EIDW","Dublin Airport","County Dublin","Ireland",53.421299,-6.27007,433
"Yellow Department",220.26,"Economy","Return","Flybe",2011-04-19,"EGPF","Glasgow International Airport","Glasgow","Scotland","United Kingdom",55.8718986511,-4.43306016922,"EGHI","Southampton Airport","England","United Kingdom",50.9502983093262,-1.35679996013641,584
"Yellow Department",261.00,"Economy","Single","Eastern Airways",2011-04-19,"EGPD","Aberdeen Dyce Airport","Aberdeen","Scotland","United Kingdom",57.2019004821777,-2.19777989387512,"EGHI","Southampton Airport","England","United Kingdom",50.9502983093262,-1.35679996013641,697
"Orange Department",295.73,"Economy","Return","Air France",2011-04-19,"EGLL","London Heathrow Airport","London","England","United Kingdom",51.4706,-0.461941,"LFPG","Charles de Gaulle International Airport","Île-de-France","France",49.012798,2.55,347
"Orange Department",503.41,"Economy","Return","Air France",2011-04-19,"EGGD","Bristol Airport","Bristol","England","United Kingdom",51.382702,-2.71909,"LFPG","Charles de Gaulle International Airport","Île-de-France","France",49.012798,2.55,458
"Yellow Department",543.33,"Economy","Return","Flybe",2011-04-19,"EGPO","Stornoway Airport","Stornoway","Scotland","United Kingdom",58.2155990600586,-6.33111000061035,"EGHI","Southampton Airport","England","United Kingdom",50.9502983093262,-1.35679996013641,869
"Orange Department",559.31,"Economy","Return","Swiss Airlines",2011-04-19,"EGCC","Manchester Airport","Manchester","England","United Kingdom",53.3536987304688,-2.27495002746582,"LOWW","Vienna International Airport","Vienna","Austria",48.110298156738,16.569700241089,1443
"Yellow Department",60.00,"Economy","Return","British Airways",2011-04-20,"EGPF","Glasgow International Airport","Glasgow","Scotland","United Kingdom",55.8718986511,-4.43306016922,"EGLC","London City Airport","England","United Kingdom",51.505299,0.055278,568
"Orange Department",65.18,"Economy","Single","British Midland",2011-04-20,"EGLL","London Heathrow Airport","London","England","United Kingdom",51.4706,-0.461941,"EGAC","George Best Belfast City Airport","Northern Ireland","United Kingdom",54.6180992126465,-5.87249994277954,503
"Yellow Department",115.00,"Economy","Return","Air Southwest",2011-04-20,"EGHD","Plymouth City Airport","Plymouth","England","United Kingdom",50.422798,-4.10583,"EGPF","Glasgow International Airport","Scotland","United Kingdom",55.8718986511,-4.43306016922,606
"Orange Department",116.69,"Economy","Single","British Midland",2011-04-20,"EGLL","London Heathrow Airport","London","England","United Kingdom",51.4706,-0.461941,"EDDK","Cologne Bonn Airport","North Rhine-Westphalia","Germany",50.8658981323,7.1427397728,534
"Orange Department",116.69,"Economy","Single","British Midland",2011-04-20,"EGLL","London Heathrow Airport","London","England","United Kingdom",51.4706,-0.461941,"EDDK","Cologne Bonn Airport","North Rhine-Westphalia","Germany",50.8658981323,7.1427397728,534
"Yellow Department",131.00,"Economy","Return","Flybe",2011-04-20,"EGPF","Glasgow International Airport","Glasgow","Scotland","United Kingdom",55.8718986511,-4.43306016922,"EGPL","Benbecula Airport","Scotland","United Kingdom",57.4810981750488,-7.36278009414673,253
"Yellow Department",131.00,"Economy","Return","Flybe",2011-04-20,"EGPF","Glasgow International Airport","Glasgow","Scotland","United Kingdom",55.8718986511,-4.43306016922,"EGPL","Benbecula Airport","Scotland","United Kingdom",57.4810981750488,-7.36278009414673,253
"Orange Department",152.70,"Economy","Single","Cyprus Airways",2011-04-20,"LCLK","Larnaca International Airport","Larnarca","Larnarca District","Cyprus",34.8750991821289,33.6249008178711,"EGLL","London Heathrow Airport","England","United Kingdom",51.4706,-0.461941,3278
"Yellow Department",172.12,"Economy","Return","Flybe",2011-04-20,"EGPO","Stornoway Airport","Stornoway","Scotland","United Kingdom",58.2155990600586,-6.33111000061035,"EGPE","Inverness Airport","Scotland","United Kingdom",57.5424995422363,-4.0475001335144,154
"Yellow Department",172.12,"Economy","Return","Flybe",2011-04-20,"EGPO","Stornoway Airport","Stornoway","Scotland","United Kingdom",58.2155990600586,-6.33111000061035,"EGPE","Inverness Airport","Scotland","United Kingdom",57.5424995422363,-4.0475001335144,154
"Yellow Department",181.43,"Economy","Return","Easyjet",2011-04-20,"EGGP","Liverpool John Lennon Airport","Liverpool","England","United Kingdom",53.3335990905762,-2.8497200012207,"LPFR","Faro Airport","Faro District","Portugal",37.0144004822,-7.96590995789,1857
"Yellow Department",185.92,"Economy","Single","Flybe",2011-04-20,"EGPH","Edinburgh Airport","Edinburgh","Scotland","United Kingdom",55.9500007629395,-3.37249994277954,"EGHI","Southampton Airport","England","United Kingdom",50.9502983093262,-1.35679996013641,572
"Orange Department",190.17,"Economy","Return","British Airways",2011-04-20,"EGLC","London City Airport","London","England","United Kingdom",51.505299,0.055278,"EGPH","Edinburgh Airport","Scotland","United Kingdom",55.9500007629395,-3.37249994277954,543
"Orange Department",199.68,"Economy","Return","Aer Lingus",2011-04-20,"EGLL","London Heathrow Airport","London","England","United Kingdom",51.4706,-0.461941,"EIDW","Dublin Airport","County Dublin","Ireland",53.421299,-6.27007,449
"Orange Department",217.17,"Economy","Return","British Airways",2011-04-20,"EGPH","Edinburgh Airport","Edinburgh","Scotland","United Kingdom",55.9500007629395,-3.37249994277954,"EGLC","London City Airport","England","United Kingdom",51.505299,0.055278,543
"Yellow Department",228.76,"Economy","Return","Flybe",2011-04-20,"EGHI","Southampton Airport","Southampton","England","United Kingdom",50.9502983093262,-1.35679996013641,"EGPF","Glasgow International Airport","Scotland","United Kingdom",55.8718986511,-4.43306016922,584
"Yellow Department",228.76,"Economy","Return","Flybe",2011-04-20,"EGHI","Southampton Airport","Southampton","England","United Kingdom",50.9502983093262,-1.35679996013641,"EGPF","Glasgow International Airport","Scotland","United Kingdom",55.8718986511,-4.43306016922,584
"Yellow Department",228.76,"Economy","Return","Flybe",2011-04-20,"EGHI","Southampton Airport","Southampton","England","United Kingdom",50.9502983093262,-1.35679996013641,"EGPF","Glasgow International Airport","Scotland","United Kingdom",55.8718986511,-4.43306016922,584
"Yellow Department",228.76,"Economy","Return","Flybe",2011-04-20,"EGHI","Southampton Airport","Southampton","England","United Kingdom",50.9502983093262,-1.35679996013641,"EGPF","Glasgow International Airport","Scotland","United Kingdom",55.8718986511,-4.43306016922,584
"Yellow Department",235.69,"Economy","Return","Flybe",2011-04-20,"EGNM","Leeds Bradford Airport","Leeds","England","United Kingdom",53.8658981323242,-1.66057002544403,"EGPD","Aberdeen Dyce Airport","Scotland","United Kingdom",57.2019004821777,-2.19777989387512,372
"Yellow Department",246.61,"Economy","Return","Flybe",2011-04-20,"EGPF","Glasgow International Airport","Glasgow","Scotland","United Kingdom",55.8718986511,-4.43306016922,"EGPL","Benbecula Airport","Scotland","United Kingdom",57.4810981750488,-7.36278009414673,253
"Yellow Department",246.61,"Economy","Return","Flybe",2011-04-20,"EGPF","Glasgow International Airport","Glasgow","Scotland","United Kingdom",55.8718986511,-4.43306016922,"EGPL","Benbecula Airport","Scotland","United Kingdom",57.4810981750488,-7.36278009414673,253
"Yellow Department",252.50,"Economy","Return","Easyjet",2011-04-20,"EGKK","London Gatwick Airport","London","England","United Kingdom",51.148102,-0.190278,"LEPA","Palma De Mallorca Airport","Baleares","Spain",39.551700592,2.73881006241,1309
"Yellow Department",261.00,"Economy","Single","Eastern Airways",2011-04-20,"EGPD","Aberdeen Dyce Airport","Aberdeen","Scotland","United Kingdom",57.2019004821777,-2.19777989387512,"EGHI","Southampton Airport","England","United Kingdom",50.9502983093262,-1.35679996013641,697
"Yellow Department",291.58,"Economy","Return","Flybe",2011-04-20,"EGTE","Exeter International Airport","Exeter","England","United Kingdom",50.7344017028809,-3.41388988494873,"EHAM","Amsterdam Airport Schiphol","Noord-Holland","Netherlands",52.308601,4.76389,592
"Orange Department",334.87,"Economy","Return","Flybe",2011-04-20,"EGHI","Southampton Airport","Southampton","England","United Kingdom",50.9502983093262,-1.35679996013641,"EGAC","George Best Belfast City Airport","Northern Ireland","United Kingdom",54.6180992126465,-5.87249994277954,508
"Orange Department",409.55,"Economy","Return","Flybe",2011-04-20,"EGPH","Edinburgh Airport","Edinburgh","Scotland","United Kingdom",55.9500007629395,-3.37249994277954,"EGPB","Sumburgh Airport","Scotland","United Kingdom",59.8788986206055,-1.29556000232697,454
"Orange Department",409.55,"Economy","Return","Flybe",2011-04-20,"EGPH","Edinburgh Airport","Edinburgh","Scotland","United Kingdom",55.9500007629395,-3.37249994277954,"EGPB","Sumburgh Airport","Scotland","United Kingdom",59.8788986206055,-1.29556000232697,454
"Yellow Department",504.05,"Economy","Return","KLM",2011-04-20,"EGSH","Norwich International Airport","Norwich","England","United Kingdom",52.6758003235,1.28278005123,"EHAM","Amsterdam Airport Schiphol","Noord-Holland","Netherlands",52.308601,4.76389,239
