,Name,Sex,Age,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
48,Paavo Johannes Aaltonen,M,28.0,Finland,FIN,1948 Summer,1948,Summer,London,Gymnastics,Gymnastics Men's Pommelled Horse,Gold
49,Paavo Johannes Aaltonen,M,32.0,Finland,FIN,1952 Summer,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Individual All-Around,
50,Paavo Johannes Aaltonen,M,32.0,Finland,FIN,1952 Summer,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Team All-Around,Bronze
51,Paavo Johannes Aaltonen,M,32.0,Finland,FIN,1952 Summer,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Floor Exercise,
52,Paavo Johannes Aaltonen,M,32.0,Finland,FIN,1952 Summer,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Horse Vault,
53,Paavo Johannes Aaltonen,M,32.0,Finland,FIN,1952 Summer,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Parallel Bars,
54,Paavo Johannes Aaltonen,M,32.0,Finland,FIN,1952 Summer,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Horizontal Bar,
55,Paavo Johannes Aaltonen,M,32.0,Finland,FIN,1952 Summer,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Rings,
56,Paavo Johannes Aaltonen,M,32.0,Finland,FIN,1952 Summer,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Pommelled Horse,
57,Timo Antero Aaltonen,M,31.0,Finland,FIN,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Shot Put,
58,Win Valdemar Aaltonen,M,54.0,Finland,FIN,1948 Summer,1948,Summer,London,Art Competitions,"Art Competitions Mixed Sculpturing, Unknown Event",
79,Ragnhild Margrethe Aamodt,F,27.0,Norway,NOR,2008 Summer,2008,Summer,Beijing,Handball,Handball Women's Handball,Gold
80,Andreea Aanei,F,22.0,Romania,ROU,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Women's Super-Heavyweight,
81,Fritz Aanes,M,22.0,Norway,NOR,2000 Summer,2000,Summer,Sydney,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",
82,Fritz Aanes,M,26.0,Norway,NOR,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",
86,Alf Lied Aanning,M,24.0,Norway,NOR,1920 Summer,1920,Summer,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Silver
88,Johan Aantjes,M,26.0,Netherlands,NED,1984 Summer,1984,Summer,Los Angeles,Water Polo,Water Polo Men's Water Polo,
89,Jan-Erik Aarberg,M,43.0,Norway,NOR,1968 Summer,1968,Summer,Mexico City,Sailing,Sailing Mixed Three Person Keelboat,
90,Jan-Erik Aarberg,M,47.0,Norway,NOR,1972 Summer,1972,Summer,Munich,Sailing,Sailing Mixed Three Person Keelboat,
91,Willemien Aardenburg,F,22.0,Netherlands,NED,1988 Summer,1988,Summer,Seoul,Hockey,Hockey Women's Hockey,Bronze
92,Pepijn Aardewijn,M,26.0,Netherlands,NED,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Men's Lightweight Double Sculls,Silver
93,Pepijn Aardewijn,M,30.0,Netherlands,NED,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Lightweight Double Sculls,
94,Evald rma (rman-),M,24.0,Estonia,EST,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's Pole Vault,
95,Olav Augunson Aarnes,M,23.0,Norway,NOR,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's High Jump,
96,Mika Lauri Aarnikka,M,24.0,Finland,FIN,1992 Summer,1992,Summer,Barcelona,Sailing,Sailing Men's Two Person Dinghy,
97,Mika Lauri Aarnikka,M,28.0,Finland,FIN,1996 Summer,1996,Summer,Atlanta,Sailing,Sailing Men's Two Person Dinghy,
98,Jamale (Djamel-) Aarrass (Ahrass-),M,30.0,France,FRA,2012 Summer,2012,Summer,London,Athletics,"Athletics Men's 1,500 metres",
100,Stefan Remco Aartsen,M,21.0,Netherlands,NED,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 100 metres Butterfly,
101,Stefan Remco Aartsen,M,21.0,Netherlands,NED,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 200 metres Butterfly,
102,Stefan Remco Aartsen,M,21.0,Netherlands,NED,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 4 x 100 metres Medley Relay,
103,Stefan Remco Aartsen,M,25.0,Netherlands,NED,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 100 metres Butterfly,
104,Stefan Remco Aartsen,M,25.0,Netherlands,NED,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 200 metres Butterfly,
105,Ann Kristin Aarnes,F,23.0,Norway,NOR,1996 Summer,1996,Summer,Atlanta,Football,Football Women's Football,Bronze
106,Karl Jan Aas,M,20.0,Norway,NOR,1920 Summer,1920,Summer,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Silver
107,Lars Thorlaksn Aas,M,33.0,Norway,NOR,1912 Summer,1912,Summer,Stockholm,Fencing,"Fencing Men's Foil, Individual",
108,Lars Thorlaksn Aas,M,33.0,Norway,NOR,1912 Summer,1912,Summer,Stockholm,Fencing,"Fencing Men's epee, Individual",
109,Lars Thorlaksn Aas,M,33.0,Norway,NOR,1912 Summer,1912,Summer,Stockholm,Fencing,"Fencing Men's epee, Team",
116,Rolf Aas,M,28.0,Norway,NOR,1920 Summer,1920,Summer,Antwerpen,Football,Football Men's Football,
117,Thomas Valentin Aas,M,25.0,Taifun,NOR,1912 Summer,1912,Summer,Stockholm,Sailing,Sailing Mixed 8 metres,Gold
118,Morten Gjerdrum Aasen,M,34.0,Norway,NOR,1992 Summer,1992,Summer,Barcelona,Equestrianism,"Equestrianism Mixed Jumping, Individual",
124,Hakon Aasns,M,41.0,Norway,NOR,1936 Summer,1936,Summer,Berlin,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",
125,Hans Aasns,M,33.0,Norway,NOR,1936 Summer,1936,Summer,Berlin,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",
126,Hans Aasns,M,45.0,Norway,NOR,1948 Summer,1948,Summer,London,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",
127,Hans Aasns,M,49.0,Norway,NOR,1952 Summer,1952,Summer,Helsinki,Shooting,Shooting Men's Trap,
128,Hans Aasns,M,53.0,Norway,NOR,1956 Summer,1956,Summer,Melbourne,Shooting,Shooting Men's Trap,
129,Hans Aasns,M,57.0,Norway,NOR,1960 Summer,1960,Summer,Roma,Shooting,Shooting Men's Trap,
130,Erling Rudolf Aastad,M,22.0,Norway,NOR,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's 4 x 100 metres Relay,
131,Erling Rudolf Aastad,M,22.0,Norway,NOR,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's Long Jump,
132,Erling Rudolf Aastad,M,26.0,Norway,NOR,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's Long Jump,
133,Erling Rudolf Aastad,M,30.0,Norway,NOR,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's Long Jump,
134,Abdelhak Aatakni,M,24.0,Morocco,MAR,2012 Summer,2012,Summer,London,Boxing,Boxing Men's Light-Welterweight,
135,Moonika Aava,F,24.0,Estonia,EST,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Javelin Throw,
136,Moonika Aava,F,28.0,Estonia,EST,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Javelin Throw,
137,Arvi Aavik,M,22.0,Estonia,EST,1992 Summer,1992,Summer,Barcelona,Wrestling,"Wrestling Men's Heavyweight, Freestyle",
138,Arvi Aavik,M,26.0,Estonia,EST,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Heavyweight, Freestyle",
139,Nstor Abad Sanjun,M,23.0,Spain,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Individual All-Around,
140,Nstor Abad Sanjun,M,23.0,Spain,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Floor Exercise,
141,Nstor Abad Sanjun,M,23.0,Spain,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Parallel Bars,
142,Nstor Abad Sanjun,M,23.0,Spain,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Horizontal Bar,
143,Nstor Abad Sanjun,M,23.0,Spain,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Rings,
144,Nstor Abad Sanjun,M,23.0,Spain,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Pommelled Horse,
145,Patrick Abada,M,22.0,France,FRA,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's Pole Vault,
146,Talaat Abada,M,24.0,Egypt,EGY,2000 Summer,2000,Summer,Sydney,Taekwondo,Taekwondo Men's Flyweight,
147,Mohamed Jamshid Abadi,M,,Iran,IRI,1948 Summer,1948,Summer,London,Boxing,Boxing Men's Heavyweight,
148,Antonio Abadia Beci,M,26.0,Spain,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Men's 5,000 metres",
149,Ren Abadie,M,21.0,France,FRA,1956 Summer,1956,Summer,Melbourne,Cycling,"Cycling Men's Road Race, Individual",
150,Ren Abadie,M,21.0,France,FRA,1956 Summer,1956,Summer,Melbourne,Cycling,"Cycling Men's Road Race, Team",Gold
151,Borislav Abadzhiev,M,24.0,Bulgaria,BUL,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Light-Welterweight,
152,Georgi Abadzhiev,M,,Bulgaria,BUL,1924 Summer,1924,Summer,Paris,Cycling,"Cycling Men's Road Race, Individual",
153,Georgi Abadzhiev,M,,Bulgaria,BUL,1924 Summer,1924,Summer,Paris,Cycling,"Cycling Men's Road Race, Team",
154,Ivan Nikolov Abadzhiev,M,24.0,Bulgaria,BUL,1956 Summer,1956,Summer,Melbourne,Weightlifting,Weightlifting Men's Lightweight,
155,Ivan Nikolov Abadzhiev,M,28.0,Bulgaria,BUL,1960 Summer,1960,Summer,Roma,Weightlifting,Weightlifting Men's Middleweight,
156,Mikhail Abadzhiev,M,24.0,Bulgaria,BUL,1960 Summer,1960,Summer,Roma,Weightlifting,Weightlifting Men's Middleweight,
157,Stefan Abadzhiev,M,26.0,Bulgaria,BUL,1960 Summer,1960,Summer,Roma,Football,Football Men's Football,
158,Giovanni Abagnale,M,21.0,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Pairs,Bronze
159,Jos Luis Abajo Gmez,M,30.0,Spain,ESP,2008 Summer,2008,Summer,Beijing,Fencing,"Fencing Men's epee, Individual",Bronze
160,M'Bairo Abakar,M,31.0,Chad,CHA,1992 Summer,1992,Summer,Barcelona,Judo,Judo Men's Half-Middleweight,
161,Patimat Abakarova,F,21.0,Azerbaijan,AZE,2016 Summer,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Women's Flyweight,Bronze
162,Mohamed Abakkar,M,,Sudan,SUD,1972 Summer,1972,Summer,Munich,Boxing,Boxing Men's Flyweight,
163,Mariya Vasilyevna Abakumova (-Tarabina),F,22.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Javelin Throw,Silver
164,Mariya Vasilyevna Abakumova (-Tarabina),F,26.0,Russia,RUS,2012 Summer,2012,Summer,London,Athletics,Athletics Women's Javelin Throw,
165,Pablo Martn Abal,M,23.0,Argentina,ARG,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 100 metres Butterfly,
166,Pablo Martn Abal,M,23.0,Argentina,ARG,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 4 x 100 metres Medley Relay,
167,Tamara Abalde Daz,F,19.0,Spain,ESP,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Women's Basketball,
168,Jess Iory Aball Martnez,M,26.0,Cuba,CUB,2000 Summer,2000,Summer,Sydney,Diving,Diving Men's Platform,
169,Juan Antonio Aball Delgado,M,27.0,Cuba,CUB,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",
170,Juan Antonio Aball Delgado,M,27.0,Cuba,CUB,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",
171,Aleksey Aleksandrovich Abalmasov,M,24.0,Belarus,BLR,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",
172,Aleksey Aleksandrovich Abalmasov,M,28.0,Belarus,BLR,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
173,Luc Abalo,M,23.0,France,FRA,2008 Summer,2008,Summer,Beijing,Handball,Handball Men's Handball,Gold
174,Luc Abalo,M,27.0,France,FRA,2012 Summer,2012,Summer,London,Handball,Handball Men's Handball,Gold
175,Luc Abalo,M,31.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Men's Handball,Silver
176,Mara Laura Abalo,F,30.0,Argentina,ARG,2012 Summer,2012,Summer,London,Rowing,Rowing Women's Coxless Pairs,
177,Giorgos Abalof,M,22.0,Greece,GRE,2004 Summer,2004,Summer,Athina,Fencing,"Fencing Men's epee, Individual",
178,Jouan Patrice Abanda Etong,M,22.0,Cameroon,CMR,2000 Summer,2000,Summer,Sydney,Football,Football Men's Football,Gold
179,Antoine Abang,M,27.0,Cameroon,CMR,1968 Summer,1968,Summer,Mexico City,Boxing,Boxing Men's Middleweight,
180,Salim Abanoz,M,26.0,Turkey,TUR,1996 Summer,1996,Summer,Atlanta,Judo,Judo Men's Lightweight,
181,Carlos Abarca Gonzlez,M,23.0,Chile,CHI,1924 Summer,1924,Summer,Paris,Boxing,Boxing Men's Featherweight,
182,Jos Mara Abarca Plotas,M,22.0,Spain,ESP,1996 Summer,1996,Summer,Atlanta,Water Polo,Water Polo Men's Water Polo,Gold
183,Georgios Abaris,M,22.0,Greece,GRE,2004 Summer,2004,Summer,Athina,Football,Football Men's Football,
184,Enrique Abaroa Martnez,M,26.0,Mexico,MEX,2000 Summer,2000,Summer,Sydney,Tennis,Tennis Men's Doubles,
185,Carlos Arturo Abarza Chavez,M,22.0,Chile,CHI,1992 Summer,1992,Summer,Barcelona,Shooting,Shooting Mixed Skeet,
186,Stephen Anthony Abas,M,26.0,United States,USA,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver
187,Alejandro Abascal Garca,M,24.0,Spain,ESP,1976 Summer,1976,Summer,Montreal,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,
188,Alejandro Abascal Garca,M,28.0,Spain,ESP,1980 Summer,1980,Summer,Moskva,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Gold
189,Alejandro Abascal Garca,M,32.0,Spain,ESP,1984 Summer,1984,Summer,Los Angeles,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,
190,Jos Manuel Abascal Gmez,M,22.0,Spain,ESP,1980 Summer,1980,Summer,Moskva,Athletics,"Athletics Men's 1,500 metres",
191,Jos Manuel Abascal Gmez,M,26.0,Spain,ESP,1984 Summer,1984,Summer,Los Angeles,Athletics,"Athletics Men's 1,500 metres",Bronze
192,Rost'om Omeris dze Abashidze,M,29.0,Soviet Union,URS,1964 Summer,1964,Summer,Tokyo,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",
193,Nunu Dzhansuhivna Abashydze (-Myslaieva),F,25.0,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's Shot Put,
194,Rodrigo Abasolo,M,21.0,Chile,CHI,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxed Eights,
195,Tamila Rashidovna Abasova,F,21.0,Russia,RUS,2004 Summer,2004,Summer,Athina,Cycling,Cycling Women's Sprint,Silver
196,Tamila Rashidovna Abasova,F,21.0,Russia,RUS,2004 Summer,2004,Summer,Athina,Cycling,Cycling Women's 500 metres Time Trial,
197,Emanuele Abate,M,27.0,Italy,ITA,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 110 metres Hurdles,
198,Ignazio Abate,M,21.0,Italy,ITA,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,
199,Jol Marc Abati,M,34.0,France,FRA,2004 Summer,2004,Summer,Athina,Handball,Handball Men's Handball,
200,Jol Marc Abati,M,38.0,France,FRA,2008 Summer,2008,Summer,Beijing,Handball,Handball Men's Handball,Gold
201,Ral Abatte,M,38.0,Chile,CHI,1984 Summer,1984,Summer,Los Angeles,Shooting,Shooting Mixed Trap,
202,Georgia Abatzidou,F,35.0,Greece,GRE,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Marathon,
203,Carlos Rodolfo Abaunza Balladares,M,18.0,Nicaragua,NCA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,
204,Carlos Alberto Abaunza,M,16.0,Nicaragua,NCA,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's High Jump,
205,Hctor Abaunza,M,30.0,Mexico,MEX,1968 Summer,1968,Summer,Mexico City,Fencing,"Fencing Men's Foil, Individual",
206,Hctor Abaunza,M,30.0,Mexico,MEX,1968 Summer,1968,Summer,Mexico City,Fencing,"Fencing Men's Foil, Team",
207,Hctor Abaunza,M,30.0,Mexico,MEX,1968 Summer,1968,Summer,Mexico City,Fencing,"Fencing Men's Sabre, Team",
208,Pter Abay,M,30.0,Hungary,HUN,1992 Summer,1992,Summer,Barcelona,Fencing,"Fencing Men's Sabre, Team",Silver
209,Oszkr Abay-Nemes,M,22.0,Hungary,HUN,1936 Summer,1936,Summer,Berlin,Swimming,Swimming Men's 100 metres Freestyle,
210,Oszkr Abay-Nemes,M,22.0,Hungary,HUN,1936 Summer,1936,Summer,Berlin,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
211,Adeyemi Abayomi,M,25.0,Nigeria,NGR,1972 Summer,1972,Summer,Munich,Boxing,Boxing Men's Lightweight,
212,Sayed Fahmy Abaza,M,,Egypt,EGY,1920 Summer,1920,Summer,Antwerpen,Football,Football Men's Football,
213,Sayed Fahmy Abaza,M,,Egypt,EGY,1928 Summer,1928,Summer,Amsterdam,Football,Football Men's Football,
214,Silvano Abba,M,25.0,Italy,ITA,1936 Summer,1936,Summer,Berlin,Modern Pentathlon,Modern Pentathlon Men's Individual,Bronze
215,Gana Abba Kimet,M,26.0,Chad,CHA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 100 metres,
216,Ilyas Abbadi,M,19.0,Algeria,ALG,2012 Summer,2012,Summer,London,Boxing,Boxing Men's Welterweight,
217,Ilyas Abbadi,M,23.0,Algeria,ALG,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Middleweight,
218,Agostino Abbagnale,M,22.0,Italy,ITA,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Men's Quadruple Sculls,Gold
219,Agostino Abbagnale,M,29.0,Italy,ITA,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Men's Double Sculls,Gold
220,Agostino Abbagnale,M,34.0,Italy,ITA,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Quadruple Sculls,Gold
221,Carmine Abbagnale,M,22.0,Italy,ITA,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxed Pairs,Gold
222,Carmine Abbagnale,M,26.0,Italy,ITA,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Men's Coxed Pairs,Gold
223,Carmine Abbagnale,M,30.0,Italy,ITA,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Coxed Pairs,Silver
224,Carmine Abbagnale,M,34.0,Italy,ITA,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Men's Coxed Eights,
225,Giuseppe Abbagnale,M,20.0,Italy,ITA,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Men's Coxed Pairs,
226,Giuseppe Abbagnale,M,25.0,Italy,ITA,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxed Pairs,Gold
227,Giuseppe Abbagnale,M,29.0,Italy,ITA,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Men's Coxed Pairs,Gold
228,Giuseppe Abbagnale,M,33.0,Italy,ITA,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Coxed Pairs,Silver
229,Abdul Latif Al-Sayed Abbas Youssef Hashem,M,23.0,Kuwait,KUW,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 400 metres Hurdles,
230,Abdul Latif Al-Sayed Abbas Youssef Hashem,M,23.0,Kuwait,KUW,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 4 x 100 metres Relay,
231,Abdul Latif Al-Sayed Abbas Youssef Hashem,M,27.0,Kuwait,KUW,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 400 metres Hurdles,
232,Abubakar Abbas Abbas,M,20.0,Bahrain,BRN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 400 metres,
233,Aqarab Abbas,M,22.0,Pakistan,PAK,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Hammer Throw,
234,Aziz Abbas,M,21.0,Iraq,IRQ,1964 Summer,1964,Summer,Tokyo,Weightlifting,Weightlifting Men's Lightweight,
235,Bassim Abbas Kati Al-Ogaili,M,22.0,Iraq,IRQ,2004 Summer,2004,Summer,Athina,Football,Football Men's Football,
236,Essa Abbas Faleh Hashem,M,20.0,Kuwait,KUW,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Long Jump,
237,Ghulam Abbas,M,24.0,Pakistan,PAK,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 400 metres Hurdles,
238,Hosni Mohamed Abbas,M,28.0,United Arab Republic,UAR,1960 Summer,1960,Summer,Roma,Weightlifting,Weightlifting Men's Featherweight,
239,Hosni Mohamed Abbas,M,32.0,Egypt,EGY,1964 Summer,1964,Summer,Tokyo,Weightlifting,Weightlifting Men's Featherweight,
240,Maher Abbas,M,22.0,Lebanon,LIB,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 400 metres,
241,Maher Abbas,M,22.0,Lebanon,LIB,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 800 metres,
242,Mahmoud Abbas,M,22.0,Egypt,EGY,2000 Summer,2000,Summer,Sydney,Cycling,"Cycling Men's Road Race, Individual",
243,Mohamed Fakhry Rifaat Abbas,M,19.0,Egypt,EGY,1952 Summer,1952,Summer,Helsinki,Diving,Diving Men's Platform,
244,Mohammed Abbas Sabih,M,26.0,Iraq,IRQ,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 100 metres Freestyle,
246,Nader Sufyan Abbas,M,28.0,Qatar,QAT,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Men's Middleweight,
247,Sohail Abbas,M,25.0,Pakistan,PAK,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Men's Hockey,
248,Sohail Abbas,M,29.0,Pakistan,PAK,2004 Summer,2004,Summer,Athina,Hockey,Hockey Men's Hockey,
249,Sohail Abbas,M,37.0,Pakistan,PAK,2012 Summer,2012,Summer,London,Hockey,Hockey Men's Hockey,
250,Youssef Mohamed Abbas,M,31.0,Egypt,EGY,1952 Summer,1952,Summer,Helsinki,Basketball,Basketball Men's Basketball,
251,Zulkifli Abbas,M,28.0,Malaysia,MAS,1984 Summer,1984,Summer,Los Angeles,Hockey,Hockey Men's Hockey,
253,Shakeel Abbasi,M,20.0,Pakistan,PAK,2004 Summer,2004,Summer,Athina,Hockey,Hockey Men's Hockey,
254,Shakeel Abbasi,M,24.0,Pakistan,PAK,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,
255,Shakeel Abbasi,M,28.0,Pakistan,PAK,2012 Summer,2012,Summer,London,Hockey,Hockey Men's Hockey,
256,Soulmaz Abbasi Azad,F,28.0,Iran,IRI,2012 Summer,2012,Summer,London,Rowing,Rowing Women's Single Sculls,
257,Ruslan Abbasov,M,22.0,Azerbaijan,AZE,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 100 metres,
