"film_id","category_id","last_update"
51,12,"2022-02-15 13:07:09+03"
52,9,"2022-02-15 13:07:09+03"
53,8,"2022-02-15 13:07:09+03"
54,12,"2022-02-15 13:07:09+03"
55,14,"2022-02-15 13:07:09+03"
56,1,"2022-02-15 13:07:09+03"
57,16,"2022-02-15 13:07:09+03"
58,6,"2022-02-15 13:07:09+03"
59,3,"2022-02-15 13:07:09+03"
60,4,"2022-02-15 13:07:09+03"
61,7,"2022-02-15 13:07:09+03"
62,6,"2022-02-15 13:07:09+03"
63,8,"2022-02-15 13:07:09+03"
64,7,"2022-02-15 13:07:09+03"
65,11,"2022-02-15 13:07:09+03"
66,3,"2022-02-15 13:07:09+03"
67,1,"2022-02-15 13:07:09+03"
68,3,"2022-02-15 13:07:09+03"
69,14,"2022-02-15 13:07:09+03"
70,2,"2022-02-15 13:07:09+03"
71,8,"2022-02-15 13:07:09+03"
72,6,"2022-02-15 13:07:09+03"
73,14,"2022-02-15 13:07:09+03"
74,12,"2022-02-15 13:07:09+03"
75,16,"2022-02-15 13:07:09+03"
76,12,"2022-02-15 13:07:09+03"
77,13,"2022-02-15 13:07:09+03"
78,2,"2022-02-15 13:07:09+03"
79,7,"2022-02-15 13:07:09+03"
80,8,"2022-02-15 13:07:09+03"
81,14,"2022-02-15 13:07:09+03"
82,8,"2022-02-15 13:07:09+03"
83,8,"2022-02-15 13:07:09+03"
84,16,"2022-02-15 13:07:09+03"
85,6,"2022-02-15 13:07:09+03"
86,12,"2022-02-15 13:07:09+03"
87,16,"2022-02-15 13:07:09+03"
88,16,"2022-02-15 13:07:09+03"
89,2,"2022-02-15 13:07:09+03"
90,13,"2022-02-15 13:07:09+03"
91,4,"2022-02-15 13:07:09+03"
92,11,"2022-02-15 13:07:09+03"
93,13,"2022-02-15 13:07:09+03"
94,8,"2022-02-15 13:07:09+03"
95,13,"2022-02-15 13:07:09+03"
96,13,"2022-02-15 13:07:09+03"
97,1,"2022-02-15 13:07:09+03"
98,7,"2022-02-15 13:07:09+03"
99,5,"2022-02-15 13:07:09+03"
100,9,"2022-02-15 13:07:09+03"
101,6,"2022-02-15 13:07:09+03"
102,15,"2022-02-15 13:07:09+03"
103,16,"2022-02-15 13:07:09+03"
104,9,"2022-02-15 13:07:09+03"
105,1,"2022-02-15 13:07:09+03"
106,10,"2022-02-15 13:07:09+03"
107,7,"2022-02-15 13:07:09+03"
108,13,"2022-02-15 13:07:09+03"
109,13,"2022-02-15 13:07:09+03"
110,3,"2022-02-15 13:07:09+03"
111,1,"2022-02-15 13:07:09+03"
112,9,"2022-02-15 13:07:09+03"
113,15,"2022-02-15 13:07:09+03"
114,14,"2022-02-15 13:07:09+03"
115,1,"2022-02-15 13:07:09+03"
116,4,"2022-02-15 13:07:09+03"
117,10,"2022-02-15 13:07:09+03"
118,2,"2022-02-15 13:07:09+03"
119,5,"2022-02-15 13:07:09+03"
120,15,"2022-02-15 13:07:09+03"
121,2,"2022-02-15 13:07:09+03"
122,11,"2022-02-15 13:07:09+03"
123,16,"2022-02-15 13:07:09+03"
124,3,"2022-02-15 13:07:09+03"
125,16,"2022-02-15 13:07:09+03"
126,1,"2022-02-15 13:07:09+03"
127,5,"2022-02-15 13:07:09+03"
128,9,"2022-02-15 13:07:09+03"
129,6,"2022-02-15 13:07:09+03"
130,1,"2022-02-15 13:07:09+03"
131,4,"2022-02-15 13:07:09+03"
132,14,"2022-02-15 13:07:09+03"
133,12,"2022-02-15 13:07:09+03"
134,2,"2022-02-15 13:07:09+03"
135,15,"2022-02-15 13:07:09+03"
136,13,"2022-02-15 13:07:09+03"
137,14,"2022-02-15 13:07:09+03"
138,14,"2022-02-15 13:07:09+03"
139,8,"2022-02-15 13:07:09+03"
140,14,"2022-02-15 13:07:09+03"
141,10,"2022-02-15 13:07:09+03"
142,6,"2022-02-15 13:07:09+03"
143,7,"2022-02-15 13:07:09+03"
144,13,"2022-02-15 13:07:09+03"
145,8,"2022-02-15 13:07:09+03"
146,7,"2022-02-15 13:07:09+03"
147,8,"2022-02-15 13:07:09+03"
148,9,"2022-02-15 13:07:09+03"
149,3,"2022-02-15 13:07:09+03"
150,6,"2022-02-15 13:07:09+03"
151,14,"2022-02-15 13:07:09+03"
152,3,"2022-02-15 13:07:09+03"
153,14,"2022-02-15 13:07:09+03"
154,2,"2022-02-15 13:07:09+03"
155,13,"2022-02-15 13:07:09+03"
156,6,"2022-02-15 13:07:09+03"
157,3,"2022-02-15 13:07:09+03"
158,12,"2022-02-15 13:07:09+03"
159,5,"2022-02-15 13:07:09+03"
160,2,"2022-02-15 13:07:09+03"
161,12,"2022-02-15 13:07:09+03"
162,1,"2022-02-15 13:07:09+03"
163,13,"2022-02-15 13:07:09+03"
164,6,"2022-02-15 13:07:09+03"
165,14,"2022-02-15 13:07:09+03"
166,4,"2022-02-15 13:07:09+03"
167,16,"2022-02-15 13:07:09+03"
168,3,"2022-02-15 13:07:09+03"
169,16,"2022-02-15 13:07:09+03"
170,9,"2022-02-15 13:07:09+03"
171,11,"2022-02-15 13:07:09+03"
172,7,"2022-02-15 13:07:09+03"
173,7,"2022-02-15 13:07:09+03"
174,12,"2022-02-15 13:07:09+03"
175,8,"2022-02-15 13:07:09+03"
176,15,"2022-02-15 13:07:09+03"
177,14,"2022-02-15 13:07:09+03"
178,5,"2022-02-15 13:07:09+03"
179,7,"2022-02-15 13:07:09+03"
180,4,"2022-02-15 13:07:09+03"
181,16,"2022-02-15 13:07:09+03"
182,5,"2022-02-15 13:07:09+03"
183,8,"2022-02-15 13:07:09+03"
184,4,"2022-02-15 13:07:09+03"
185,9,"2022-02-15 13:07:09+03"
186,7,"2022-02-15 13:07:09+03"
187,15,"2022-02-15 13:07:09+03"
188,5,"2022-02-15 13:07:09+03"
189,10,"2022-02-15 13:07:09+03"
190,4,"2022-02-15 13:07:09+03"
191,3,"2022-02-15 13:07:09+03"
192,9,"2022-02-15 13:07:09+03"
193,2,"2022-02-15 13:07:09+03"
194,1,"2022-02-15 13:07:09+03"
195,14,"2022-02-15 13:07:09+03"
196,4,"2022-02-15 13:07:09+03"
197,15,"2022-02-15 13:07:09+03"
198,9,"2022-02-15 13:07:09+03"
199,6,"2022-02-15 13:07:09+03"
200,10,"2022-02-15 13:07:09+03"
201,9,"2022-02-15 13:07:09+03"
202,5,"2022-02-15 13:07:09+03"
203,14,"2022-02-15 13:07:09+03"
204,7,"2022-02-15 13:07:09+03"
205,1,"2022-02-15 13:07:09+03"
206,6,"2022-02-15 13:07:09+03"
207,9,"2022-02-15 13:07:09+03"
208,2,"2022-02-15 13:07:09+03"
209,7,"2022-02-15 13:07:09+03"
210,1,"2022-02-15 13:07:09+03"
211,10,"2022-02-15 13:07:09+03"
212,1,"2022-02-15 13:07:09+03"
213,8,"2022-02-15 13:07:09+03"
214,3,"2022-02-15 13:07:09+03"
215,10,"2022-02-15 13:07:09+03"
216,13,"2022-02-15 13:07:09+03"
217,10,"2022-02-15 13:07:09+03"
218,7,"2022-02-15 13:07:09+03"
219,6,"2022-02-15 13:07:09+03"
220,12,"2022-02-15 13:07:09+03"
221,6,"2022-02-15 13:07:09+03"
222,11,"2022-02-15 13:07:09+03"
223,2,"2022-02-15 13:07:09+03"
224,16,"2022-02-15 13:07:09+03"
225,7,"2022-02-15 13:07:09+03"
226,13,"2022-02-15 13:07:09+03"
227,10,"2022-02-15 13:07:09+03"
228,4,"2022-02-15 13:07:09+03"
229,1,"2022-02-15 13:07:09+03"
230,7,"2022-02-15 13:07:09+03"
231,8,"2022-02-15 13:07:09+03"
232,10,"2022-02-15 13:07:09+03"
233,16,"2022-02-15 13:07:09+03"
234,14,"2022-02-15 13:07:09+03"
235,14,"2022-02-15 13:07:09+03"
236,10,"2022-02-15 13:07:09+03"
237,15,"2022-02-15 13:07:09+03"
238,3,"2022-02-15 13:07:09+03"
239,2,"2022-02-15 13:07:09+03"
240,14,"2022-02-15 13:07:09+03"
241,2,"2022-02-15 13:07:09+03"
242,5,"2022-02-15 13:07:09+03"
243,2,"2022-02-15 13:07:09+03"
244,12,"2022-02-15 13:07:09+03"
245,2,"2022-02-15 13:07:09+03"
246,9,"2022-02-15 13:07:09+03"
247,5,"2022-02-15 13:07:09+03"
248,6,"2022-02-15 13:07:09+03"
249,4,"2022-02-15 13:07:09+03"
250,1,"2022-02-15 13:07:09+03"
251,13,"2022-02-15 13:07:09+03"
252,1,"2022-02-15 13:07:09+03"
253,1,"2022-02-15 13:07:09+03"
254,15,"2022-02-15 13:07:09+03"
255,12,"2022-02-15 13:07:09+03"
256,15,"2022-02-15 13:07:09+03"
257,16,"2022-02-15 13:07:09+03"
258,11,"2022-02-15 13:07:09+03"
259,2,"2022-02-15 13:07:09+03"
260,15,"2022-02-15 13:07:09+03"
261,6,"2022-02-15 13:07:09+03"
262,8,"2022-02-15 13:07:09+03"
263,15,"2022-02-15 13:07:09+03"
264,10,"2022-02-15 13:07:09+03"
265,5,"2022-02-15 13:07:09+03"
266,4,"2022-02-15 13:07:09+03"
267,13,"2022-02-15 13:07:09+03"
268,2,"2022-02-15 13:07:09+03"
269,8,"2022-02-15 13:07:09+03"
270,13,"2022-02-15 13:07:09+03"
271,1,"2022-02-15 13:07:09+03"
272,7,"2022-02-15 13:07:09+03"
273,8,"2022-02-15 13:07:09+03"
274,6,"2022-02-15 13:07:09+03"
275,11,"2022-02-15 13:07:09+03"
276,5,"2022-02-15 13:07:09+03"
277,11,"2022-02-15 13:07:09+03"
278,12,"2022-02-15 13:07:09+03"
279,15,"2022-02-15 13:07:09+03"
280,3,"2022-02-15 13:07:09+03"
281,10,"2022-02-15 13:07:09+03"
282,7,"2022-02-15 13:07:09+03"
283,13,"2022-02-15 13:07:09+03"
284,12,"2022-02-15 13:07:09+03"
285,14,"2022-02-15 13:07:09+03"
286,16,"2022-02-15 13:07:09+03"
287,1,"2022-02-15 13:07:09+03"
288,16,"2022-02-15 13:07:09+03"
289,13,"2022-02-15 13:07:09+03"
290,9,"2022-02-15 13:07:09+03"
291,15,"2022-02-15 13:07:09+03"
292,1,"2022-02-15 13:07:09+03"
293,15,"2022-02-15 13:07:09+03"
294,16,"2022-02-15 13:07:09+03"
295,6,"2022-02-15 13:07:09+03"
296,14,"2022-02-15 13:07:09+03"
297,4,"2022-02-15 13:07:09+03"
298,14,"2022-02-15 13:07:09+03"
299,16,"2022-02-15 13:07:09+03"
300,2,"2022-02-15 13:07:09+03"
301,11,"2022-02-15 13:07:09+03"
302,10,"2022-02-15 13:07:09+03"
303,1,"2022-02-15 13:07:09+03"
304,3,"2022-02-15 13:07:09+03"
305,13,"2022-02-15 13:07:09+03"
306,10,"2022-02-15 13:07:09+03"
307,16,"2022-02-15 13:07:09+03"
308,5,"2022-02-15 13:07:09+03"
309,8,"2022-02-15 13:07:09+03"
310,10,"2022-02-15 13:07:09+03"
311,9,"2022-02-15 13:07:09+03"
312,14,"2022-02-15 13:07:09+03"
313,11,"2022-02-15 13:07:09+03"
314,2,"2022-02-15 13:07:09+03"
315,8,"2022-02-15 13:07:09+03"
316,10,"2022-02-15 13:07:09+03"
317,5,"2022-02-15 13:07:09+03"
318,1,"2022-02-15 13:07:09+03"
319,14,"2022-02-15 13:07:09+03"
320,13,"2022-02-15 13:07:09+03"
321,13,"2022-02-15 13:07:09+03"
322,15,"2022-02-15 13:07:09+03"
323,15,"2022-02-15 13:07:09+03"
324,5,"2022-02-15 13:07:09+03"
325,2,"2022-02-15 13:07:09+03"
326,2,"2022-02-15 13:07:09+03"
327,1,"2022-02-15 13:07:09+03"
328,3,"2022-02-15 13:07:09+03"
329,1,"2022-02-15 13:07:09+03"
330,2,"2022-02-15 13:07:09+03"
331,10,"2022-02-15 13:07:09+03"
332,5,"2022-02-15 13:07:09+03"
333,12,"2022-02-15 13:07:09+03"
334,11,"2022-02-15 13:07:09+03"
335,5,"2022-02-15 13:07:09+03"
336,6,"2022-02-15 13:07:09+03"
337,9,"2022-02-15 13:07:09+03"
338,14,"2022-02-15 13:07:09+03"
339,16,"2022-02-15 13:07:09+03"
340,13,"2022-02-15 13:07:09+03"
341,4,"2022-02-15 13:07:09+03"
342,16,"2022-02-15 13:07:09+03"
343,3,"2022-02-15 13:07:09+03"
344,3,"2022-02-15 13:07:09+03"
345,8,"2022-02-15 13:07:09+03"
346,4,"2022-02-15 13:07:09+03"
347,16,"2022-02-15 13:07:09+03"
348,8,"2022-02-15 13:07:09+03"
349,2,"2022-02-15 13:07:09+03"
350,14,"2022-02-15 13:07:09+03"
351,11,"2022-02-15 13:07:09+03"
352,10,"2022-02-15 13:07:09+03"
353,9,"2022-02-15 13:07:09+03"
354,3,"2022-02-15 13:07:09+03"
355,2,"2022-02-15 13:07:09+03"
356,3,"2022-02-15 13:07:09+03"
357,4,"2022-02-15 13:07:09+03"
358,4,"2022-02-15 13:07:09+03"
359,8,"2022-02-15 13:07:09+03"
360,1,"2022-02-15 13:07:09+03"
361,15,"2022-02-15 13:07:09+03"
362,10,"2022-02-15 13:07:09+03"
363,12,"2022-02-15 13:07:09+03"
364,13,"2022-02-15 13:07:09+03"
365,5,"2022-02-15 13:07:09+03"
366,7,"2022-02-15 13:07:09+03"
367,14,"2022-02-15 13:07:09+03"
368,7,"2022-02-15 13:07:09+03"
369,14,"2022-02-15 13:07:09+03"
370,3,"2022-02-15 13:07:09+03"
371,1,"2022-02-15 13:07:09+03"
372,15,"2022-02-15 13:07:09+03"
373,3,"2022-02-15 13:07:09+03"
374,14,"2022-02-15 13:07:09+03"
375,1,"2022-02-15 13:07:09+03"
376,9,"2022-02-15 13:07:09+03"
377,8,"2022-02-15 13:07:09+03"
378,12,"2022-02-15 13:07:09+03"
379,7,"2022-02-15 13:07:09+03"
380,9,"2022-02-15 13:07:09+03"
381,10,"2022-02-15 13:07:09+03"
382,10,"2022-02-15 13:07:09+03"
383,15,"2022-02-15 13:07:09+03"
384,12,"2022-02-15 13:07:09+03"
385,5,"2022-02-15 13:07:09+03"
386,16,"2022-02-15 13:07:09+03"
387,10,"2022-02-15 13:07:09+03"
388,5,"2022-02-15 13:07:09+03"
389,15,"2022-02-15 13:07:09+03"
390,14,"2022-02-15 13:07:09+03"
391,8,"2022-02-15 13:07:09+03"
392,3,"2022-02-15 13:07:09+03"
393,6,"2022-02-15 13:07:09+03"
394,14,"2022-02-15 13:07:09+03"
395,1,"2022-02-15 13:07:09+03"
396,7,"2022-02-15 13:07:09+03"
397,14,"2022-02-15 13:07:09+03"
398,12,"2022-02-15 13:07:09+03"
399,9,"2022-02-15 13:07:09+03"
400,6,"2022-02-15 13:07:09+03"
401,7,"2022-02-15 13:07:09+03"
402,2,"2022-02-15 13:07:09+03"
403,7,"2022-02-15 13:07:09+03"
404,5,"2022-02-15 13:07:09+03"
405,16,"2022-02-15 13:07:09+03"
406,10,"2022-02-15 13:07:09+03"
407,6,"2022-02-15 13:07:09+03"
408,10,"2022-02-15 13:07:09+03"
409,3,"2022-02-15 13:07:09+03"
410,5,"2022-02-15 13:07:09+03"
411,12,"2022-02-15 13:07:09+03"
412,6,"2022-02-15 13:07:09+03"
413,5,"2022-02-15 13:07:09+03"
414,9,"2022-02-15 13:07:09+03"
415,11,"2022-02-15 13:07:09+03"
416,9,"2022-02-15 13:07:09+03"
417,1,"2022-02-15 13:07:09+03"
418,7,"2022-02-15 13:07:09+03"
419,8,"2022-02-15 13:07:09+03"
420,15,"2022-02-15 13:07:09+03"
421,9,"2022-02-15 13:07:09+03"
422,14,"2022-02-15 13:07:09+03"
423,3,"2022-02-15 13:07:09+03"
424,3,"2022-02-15 13:07:09+03"
425,4,"2022-02-15 13:07:09+03"
426,12,"2022-02-15 13:07:09+03"
427,6,"2022-02-15 13:07:09+03"
428,8,"2022-02-15 13:07:09+03"
429,15,"2022-02-15 13:07:09+03"
430,2,"2022-02-15 13:07:09+03"
431,9,"2022-02-15 13:07:09+03"
432,4,"2022-02-15 13:07:09+03"
433,2,"2022-02-15 13:07:09+03"
434,16,"2022-02-15 13:07:09+03"
435,9,"2022-02-15 13:07:09+03"
436,13,"2022-02-15 13:07:09+03"
437,8,"2022-02-15 13:07:09+03"
438,10,"2022-02-15 13:07:09+03"
439,7,"2022-02-15 13:07:09+03"
440,9,"2022-02-15 13:07:09+03"
441,6,"2022-02-15 13:07:09+03"
442,8,"2022-02-15 13:07:09+03"
443,5,"2022-02-15 13:07:09+03"
444,5,"2022-02-15 13:07:09+03"
445,4,"2022-02-15 13:07:09+03"
446,15,"2022-02-15 13:07:09+03"
447,10,"2022-02-15 13:07:09+03"
448,13,"2022-02-15 13:07:09+03"
449,14,"2022-02-15 13:07:09+03"
450,3,"2022-02-15 13:07:09+03"
451,16,"2022-02-15 13:07:09+03"
452,9,"2022-02-15 13:07:09+03"
453,15,"2022-02-15 13:07:09+03"
454,12,"2022-02-15 13:07:09+03"
455,9,"2022-02-15 13:07:09+03"
456,2,"2022-02-15 13:07:09+03"
457,6,"2022-02-15 13:07:09+03"
458,8,"2022-02-15 13:07:09+03"
459,9,"2022-02-15 13:07:09+03"
460,9,"2022-02-15 13:07:09+03"
461,2,"2022-02-15 13:07:09+03"
462,12,"2022-02-15 13:07:09+03"
463,15,"2022-02-15 13:07:09+03"
464,2,"2022-02-15 13:07:09+03"
465,13,"2022-02-15 13:07:09+03"
466,6,"2022-02-15 13:07:09+03"
467,9,"2022-02-15 13:07:09+03"
468,3,"2022-02-15 13:07:09+03"
469,4,"2022-02-15 13:07:09+03"
470,2,"2022-02-15 13:07:09+03"
471,4,"2022-02-15 13:07:09+03"
472,16,"2022-02-15 13:07:09+03"
473,7,"2022-02-15 13:07:09+03"
474,15,"2022-02-15 13:07:09+03"
475,11,"2022-02-15 13:07:09+03"
476,8,"2022-02-15 13:07:09+03"
477,12,"2022-02-15 13:07:09+03"
478,5,"2022-02-15 13:07:09+03"
479,8,"2022-02-15 13:07:09+03"
480,4,"2022-02-15 13:07:09+03"
481,13,"2022-02-15 13:07:09+03"
482,4,"2022-02-15 13:07:09+03"
483,10,"2022-02-15 13:07:09+03"
484,4,"2022-02-15 13:07:09+03"
485,3,"2022-02-15 13:07:09+03"
486,9,"2022-02-15 13:07:09+03"
487,4,"2022-02-15 13:07:09+03"
488,15,"2022-02-15 13:07:09+03"
489,2,"2022-02-15 13:07:09+03"
490,13,"2022-02-15 13:07:09+03"
491,3,"2022-02-15 13:07:09+03"
492,13,"2022-02-15 13:07:09+03"
493,9,"2022-02-15 13:07:09+03"
494,11,"2022-02-15 13:07:09+03"
495,11,"2022-02-15 13:07:09+03"
496,16,"2022-02-15 13:07:09+03"
497,6,"2022-02-15 13:07:09+03"
498,8,"2022-02-15 13:07:09+03"
499,8,"2022-02-15 13:07:09+03"
500,9,"2022-02-15 13:07:09+03"
501,1,"2022-02-15 13:07:09+03"
502,5,"2022-02-15 13:07:09+03"
503,15,"2022-02-15 13:07:09+03"
504,7,"2022-02-15 13:07:09+03"
505,3,"2022-02-15 13:07:09+03"
506,11,"2022-02-15 13:07:09+03"
507,10,"2022-02-15 13:07:09+03"
508,10,"2022-02-15 13:07:09+03"
509,3,"2022-02-15 13:07:09+03"
510,2,"2022-02-15 13:07:09+03"
511,1,"2022-02-15 13:07:09+03"
512,4,"2022-02-15 13:07:09+03"
513,16,"2022-02-15 13:07:09+03"
514,7,"2022-02-15 13:07:09+03"
515,3,"2022-02-15 13:07:09+03"
516,12,"2022-02-15 13:07:09+03"
517,15,"2022-02-15 13:07:09+03"
518,16,"2022-02-15 13:07:09+03"
519,15,"2022-02-15 13:07:09+03"
520,14,"2022-02-15 13:07:09+03"
521,7,"2022-02-15 13:07:09+03"
522,5,"2022-02-15 13:07:09+03"
523,4,"2022-02-15 13:07:09+03"
524,5,"2022-02-15 13:07:09+03"
525,4,"2022-02-15 13:07:09+03"
526,16,"2022-02-15 13:07:09+03"
527,11,"2022-02-15 13:07:09+03"
528,8,"2022-02-15 13:07:09+03"
529,5,"2022-02-15 13:07:09+03"
530,1,"2022-02-15 13:07:09+03"
531,9,"2022-02-15 13:07:09+03"
532,15,"2022-02-15 13:07:09+03"
533,9,"2022-02-15 13:07:09+03"
534,8,"2022-02-15 13:07:09+03"
535,11,"2022-02-15 13:07:09+03"
536,4,"2022-02-15 13:07:09+03"
537,4,"2022-02-15 13:07:09+03"
538,13,"2022-02-15 13:07:09+03"
539,7,"2022-02-15 13:07:09+03"
540,12,"2022-02-15 13:07:09+03"
541,2,"2022-02-15 13:07:09+03"
542,1,"2022-02-15 13:07:09+03"
543,16,"2022-02-15 13:07:09+03"
544,6,"2022-02-15 13:07:09+03"
545,9,"2022-02-15 13:07:09+03"
546,10,"2022-02-15 13:07:09+03"
547,3,"2022-02-15 13:07:09+03"
548,4,"2022-02-15 13:07:09+03"
549,1,"2022-02-15 13:07:09+03"
550,8,"2022-02-15 13:07:09+03"
551,13,"2022-02-15 13:07:09+03"
552,6,"2022-02-15 13:07:09+03"
553,3,"2022-02-15 13:07:09+03"
554,4,"2022-02-15 13:07:09+03"
555,5,"2022-02-15 13:07:09+03"
556,10,"2022-02-15 13:07:09+03"
557,8,"2022-02-15 13:07:09+03"
558,13,"2022-02-15 13:07:09+03"
559,14,"2022-02-15 13:07:09+03"
560,10,"2022-02-15 13:07:09+03"
561,13,"2022-02-15 13:07:09+03"
562,12,"2022-02-15 13:07:09+03"
563,10,"2022-02-15 13:07:09+03"
564,2,"2022-02-15 13:07:09+03"
565,9,"2022-02-15 13:07:09+03"
566,9,"2022-02-15 13:07:09+03"
567,9,"2022-02-15 13:07:09+03"
568,5,"2022-02-15 13:07:09+03"
569,2,"2022-02-15 13:07:09+03"
570,15,"2022-02-15 13:07:09+03"
571,6,"2022-02-15 13:07:09+03"
572,14,"2022-02-15 13:07:09+03"
573,3,"2022-02-15 13:07:09+03"
574,1,"2022-02-15 13:07:09+03"
575,6,"2022-02-15 13:07:09+03"
576,6,"2022-02-15 13:07:09+03"
577,15,"2022-02-15 13:07:09+03"
578,4,"2022-02-15 13:07:09+03"
579,1,"2022-02-15 13:07:09+03"
580,13,"2022-02-15 13:07:09+03"
581,12,"2022-02-15 13:07:09+03"
582,2,"2022-02-15 13:07:09+03"
583,2,"2022-02-15 13:07:09+03"
584,9,"2022-02-15 13:07:09+03"
585,7,"2022-02-15 13:07:09+03"
586,1,"2022-02-15 13:07:09+03"
587,6,"2022-02-15 13:07:09+03"
588,3,"2022-02-15 13:07:09+03"
589,6,"2022-02-15 13:07:09+03"
590,13,"2022-02-15 13:07:09+03"
591,10,"2022-02-15 13:07:09+03"
592,12,"2022-02-15 13:07:09+03"
593,11,"2022-02-15 13:07:09+03"
594,1,"2022-02-15 13:07:09+03"
595,9,"2022-02-15 13:07:09+03"
596,10,"2022-02-15 13:07:09+03"
597,10,"2022-02-15 13:07:09+03"
598,15,"2022-02-15 13:07:09+03"
599,15,"2022-02-15 13:07:09+03"
600,11,"2022-02-15 13:07:09+03"
601,16,"2022-02-15 13:07:09+03"
602,14,"2022-02-15 13:07:09+03"
603,8,"2022-02-15 13:07:09+03"
604,5,"2022-02-15 13:07:09+03"
605,9,"2022-02-15 13:07:09+03"
606,15,"2022-02-15 13:07:09+03"
607,9,"2022-02-15 13:07:09+03"
608,3,"2022-02-15 13:07:09+03"
609,16,"2022-02-15 13:07:09+03"
610,8,"2022-02-15 13:07:09+03"
611,4,"2022-02-15 13:07:09+03"
612,15,"2022-02-15 13:07:09+03"
613,5,"2022-02-15 13:07:09+03"
614,10,"2022-02-15 13:07:09+03"
615,2,"2022-02-15 13:07:09+03"
616,6,"2022-02-15 13:07:09+03"
617,8,"2022-02-15 13:07:09+03"
618,7,"2022-02-15 13:07:09+03"
619,15,"2022-02-15 13:07:09+03"
620,14,"2022-02-15 13:07:09+03"
621,8,"2022-02-15 13:07:09+03"
622,6,"2022-02-15 13:07:09+03"
623,9,"2022-02-15 13:07:09+03"
624,10,"2022-02-15 13:07:09+03"
625,14,"2022-02-15 13:07:09+03"
626,3,"2022-02-15 13:07:09+03"
627,6,"2022-02-15 13:07:09+03"
628,15,"2022-02-15 13:07:09+03"
629,6,"2022-02-15 13:07:09+03"
630,7,"2022-02-15 13:07:09+03"
631,15,"2022-02-15 13:07:09+03"
632,13,"2022-02-15 13:07:09+03"
633,4,"2022-02-15 13:07:09+03"
634,8,"2022-02-15 13:07:09+03"
635,13,"2022-02-15 13:07:09+03"
636,12,"2022-02-15 13:07:09+03"
637,14,"2022-02-15 13:07:09+03"
638,5,"2022-02-15 13:07:09+03"
639,8,"2022-02-15 13:07:09+03"
640,9,"2022-02-15 13:07:09+03"
641,9,"2022-02-15 13:07:09+03"
642,16,"2022-02-15 13:07:09+03"
643,7,"2022-02-15 13:07:09+03"
644,2,"2022-02-15 13:07:09+03"
645,16,"2022-02-15 13:07:09+03"
646,10,"2022-02-15 13:07:09+03"
647,12,"2022-02-15 13:07:09+03"
648,16,"2022-02-15 13:07:09+03"
649,2,"2022-02-15 13:07:09+03"
650,6,"2022-02-15 13:07:09+03"
651,2,"2022-02-15 13:07:09+03"
652,4,"2022-02-15 13:07:09+03"
653,11,"2022-02-15 13:07:09+03"
654,10,"2022-02-15 13:07:09+03"
655,14,"2022-02-15 13:07:09+03"
656,16,"2022-02-15 13:07:09+03"
657,5,"2022-02-15 13:07:09+03"
658,11,"2022-02-15 13:07:09+03"
659,1,"2022-02-15 13:07:09+03"
660,5,"2022-02-15 13:07:09+03"
661,9,"2022-02-15 13:07:09+03"
662,7,"2022-02-15 13:07:09+03"
663,4,"2022-02-15 13:07:09+03"
664,1,"2022-02-15 13:07:09+03"
665,11,"2022-02-15 13:07:09+03"
