database,schema,table,column
TRANSFORMED_DATA,PUBLIC,PURCHASE_PATTERNS,RETURNED_AT
TRANSFORMED_DATA,PUBLIC,PURCHASE_PATTERNS,TIME_TO_PURCHASE_SECONDS
TRANSFORMED_DATA,PUBLIC,PURCHASE_PATTERNS,USER_ID
TRANSFORMED_DATA,PUBLIC,STG_PRODUCTS,CREATED_AT
TRANSFORMED_DATA,PUBLIC,STG_PRODUCTS,ID
TRANSFORMED_DATA,PUBLIC,STG_PRODUCTS,MAKE
TRANSFORMED_DATA,PUBLIC,STG_PRODUCTS,MODEL
TRANSFORMED_DATA,PUBLIC,STG_PRODUCTS,PRICE
TRANSFORMED_DATA,PUBLIC,STG_PRODUCTS,UPDATED_AT
TRANSFORMED_DATA,PUBLIC,STG_PRODUCTS,YEAR
TRANSFORMED_DATA,PUBLIC,STG_PRODUCTS,_AIRBYTE_EXTRACTED_AT
TRANSFORMED_DATA,PUBLIC,STG_PURCHASES,ADDED_TO_CART_AT
TRANSFORMED_DATA,PUBLIC,STG_PURCHASES,CREATED_AT
TRANSFORMED_DATA,PUBLIC,STG_PURCHASES,ID
TRANSFORMED_DATA,PUBLIC,STG_PURCHASES,PRODUCT_ID
TRANSFORMED_DATA,PUBLIC,STG_PURCHASES,PURCHASED_AT
TRANSFORMED_DATA,PUBLIC,STG_PURCHASES,RETURNED_AT
TRANSFORMED_DATA,PUBLIC,STG_PURCHASES,UPDATED_AT
TRANSFORMED_DATA,PUBLIC,STG_PURCHASES,USER_ID
TRANSFORMED_DATA,PUBLIC,STG_PURCHASES,_AIRBYTE_EXTRACTED_AT
TRANSFORMED_DATA,PUBLIC,STG_USERS,ACADEMIC_DEGREE
TRANSFORMED_DATA,PUBLIC,STG_USERS,AGE
TRANSFORMED_DATA,PUBLIC,STG_USERS,CREATED_AT
TRANSFORMED_DATA,PUBLIC,STG_USERS,EMAIL
TRANSFORMED_DATA,PUBLIC,STG_USERS,GENDER
TRANSFORMED_DATA,PUBLIC,STG_USERS,ID
TRANSFORMED_DATA,PUBLIC,STG_USERS,NAME
TRANSFORMED_DATA,PUBLIC,STG_USERS,NATIONALITY
TRANSFORMED_DATA,PUBLIC,STG_USERS,TITLE
TRANSFORMED_DATA,PUBLIC,STG_USERS,UPDATED_AT
TRANSFORMED_DATA,PUBLIC,STG_USERS,_AIRBYTE_EXTRACTED_AT
TRANSFORMED_DATA,PUBLIC,USER_DEMOGRAPHICS,ACADEMIC_DEGREE
TRANSFORMED_DATA,PUBLIC,USER_DEMOGRAPHICS,AVERAGE_AGE
TRANSFORMED_DATA,PUBLIC,USER_DEMOGRAPHICS,GENDER
TRANSFORMED_DATA,PUBLIC,USER_DEMOGRAPHICS,NATIONALITY
TRANSFORMED_DATA,PUBLIC,USER_DEMOGRAPHICS,USER_COUNT
